Week,Anger_max,Anger_med,Anger_avg,Sad_max,Sad_median,Sad_avg,Fear_max,Fear_med,Fear_avg,Joy_max,Joy_med,Joy_avg,Analy_max,Analy_med,Analy_avg,Confi_max,Confi_med,Confi_avg,Tenta_max,Tenta_med,Tenta_avg
03.-01-03.-07,0.5,0.5,0.5,0.610386,0.5750845,0.5697166,0.620677,0.5244,0.5919002000000001,0.5612590000000001,0.501788,0.5276826,0.85524,0.621006,0.6591224444444445,0.5,0.5,0.5,0.703663,0.5,0.5898033333333333
03.-08-03.-14,0.5,0.5,0.5,0.649894,0.5627169999999999,0.57340025,0.6422939999999999,0.505377,0.585708,0.555888,0.5,0.555888,0.796118,0.700751,0.7111273750000001,0.5,0.5,0.5,0.737372,0.5,0.66019475
03.-15-03.-21,0.5,0.5,0.5,0.578727,0.529687,0.5423261111111111,0.5472560000000001,0.5,0.540181,0.5895,0.5,0.5751255,0.8635440000000001,0.689471,0.7015368750000001,0.5,0.5,0.5,0.817867,0.5,0.7849165
03.-22-03.-28,0.5,0.5,0.5,0.595198,0.5423335,0.5506216666666668,0.636125,0.5,0.607205,0.591586,0.5,0.591586,0.806996,0.675129,0.6951541111111111,0.5,0.5,0.5,0.6547270000000001,0.5,0.6008855
03.-29-04.-04,0.5,0.5,0.5,0.643914,0.5194585,0.5546301428571428,0.5,0.5,0.5,0.666337,0.5,0.5722674999999999,0.769334,0.5473715,0.6138121428571429,0.5,0.5,0.5,0.672229,0.5,0.6636785
04.-05-04.-11,0.5,0.5,0.5,0.674135,0.5371905,0.5569975,0.5,0.5,0.5,0.518645,0.5,0.5177095,0.795016,0.667657,0.6609417777777777,0.5,0.5,0.5,0.7142390000000001,0.5,0.62043225
04.-12-04.-18,0.5,0.5,0.5,0.588878,0.543112,0.5584950000000001,0.704647,0.5,0.6172903333333334,0.602372,0.5,0.541589,0.83309,0.633874,0.685580625,0.5,0.5,0.5,0.789641,0.5,0.6932823333333333
04.-19-04.-25,0.5,0.5,0.5,0.6351399999999999,0.5693334999999999,0.57697875,0.612564,0.5,0.6034545,0.536594,0.5,0.5189215,0.7999930000000001,0.70289,0.724165375,0.5,0.5,0.5,0.8221930000000001,0.5422395,0.6181105
04.-26-05.-02,0.5,0.5,0.5,0.636346,0.523107,0.5599183333333334,0.5621109999999999,0.5,0.5621109999999999,0.542258,0.5,0.5323183333333333,0.793358,0.555614,0.6684926666666667,0.5,0.5,0.5,0.693988,0.5,0.621805
05.-03-05.-09,0.5,0.5,0.5,0.6171979999999999,0.5715574999999999,0.57499675,0.5851149999999999,0.5,0.5851149999999999,0.553199,0.5,0.5264565,0.7727510000000001,0.6701625,0.6684127999999999,0.5,0.5,0.5,0.6455770000000001,0.5,0.584834
05.-10-05.-16,0.5,0.5,0.5,0.623224,0.5605705000000001,0.5702167499999999,0.600913,0.5,0.5710046666666667,0.649313,0.5,0.5893393333333333,0.783053,0.6988345,0.6783671000000001,0.5,0.5,0.5,0.745219,0.5,0.6478309999999999
05.-17-05.-23,0.5,0.5,0.5,0.628373,0.5295030000000001,0.55198425,0.657742,0.5,0.657742,0.6270439999999999,0.5215110000000001,0.5540896666666667,0.81338,0.6487080000000001,0.6476607777777779,0.5,0.5,0.5,0.801284,0.5,0.6745369999999999
05.-24-05.-30,0.5,0.5,0.5,0.6741189999999999,0.553875,0.5804358888888889,0.605259,0.5,0.5892463333333333,0.537003,0.5,0.5258736666666667,0.8179890000000001,0.6191275,0.6468074000000001,0.5,0.5,0.5,0.8472120000000001,0.5516699999999999,0.6431766666666666
05.-31-06.-06,0.5,0.5,0.5,0.6129680000000001,0.556438,0.56509825,0.565317,0.5,0.551049,0.650529,0.5,0.566018,0.876992,0.696116,0.7535232857142858,0.5,0.5,0.5,0.675327,0.5,0.590494
06.-07-06.-13,0.5,0.5,0.5,0.588112,0.551053,0.5677056666666667,0.556519,0.5,0.556519,0.588634,0.5,0.5661237499999999,0.85465,0.6238165,0.67055625,0.5,0.5,0.5,0.8788889999999999,0.5,0.7099455
06.-14-06.-20,0.5,0.5,0.5,0.633374,0.550249,0.566254875,0.534411,0.5,0.5317259999999999,0.6163390000000001,0.5,0.544124,0.774147,0.6966105,0.707567625,0.5,0.5,0.5,0.646149,0.5,0.5827359999999999
