Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
Guardian,2020-11-18T17:06:49Z,https://www.theguardian.com/business/2020/nov/18/sports-direct-launches-its-first-ever-christmas-advert-film-lockdown,0, ,0.5,0.5,0.583404,0.521275,0.857847,0.5,0.5
Guardian,2020-11-18T14:16:49Z,https://www.theguardian.com/business/2020/nov/18/shopping-centre-owner-british-land-takes-1bn-hit-to-portfolio-covid-19,0, ,0.5,0.5,0.52392,0.536821,0.650977,0.5,0.5
Guardian,2020-11-18T00:01:27Z,https://www.theguardian.com/business/2020/nov/18/uk-music-industry-will-halve-in-size-due-to-covid-says-report,0, ,0.5,0.5,0.606327,0.5,0.689531,0.5,0.519953
Guardian,2020-11-17T18:50:17Z,https://www.theguardian.com/business/2020/nov/17/retail-and-hospitality-leaders-in-england-call-for-clarity-on-covid-tier-plans,0, ,0.5,0.5,0.517219,0.533678,0.789515,0.5,0.5
Guardian,2020-11-17T11:50:16Z,https://www.theguardian.com/business/2020/nov/17/people-cause-global-aviation-emissions-study-covid-19,0, ,0.5,0.5,0.5,0.5,0.719115,0.5,0.519477
Guardian,2020-11-18T13:20:34Z,https://www.theguardian.com/business/2020/nov/18/couriers-denied-toilet-access-at-uks-biggest-chains-during-lockdown,0, ,0.5,0.5,0.5,0.5,0.682426,0.5,0.5
Guardian,2020-11-16T18:10:09Z,https://www.theguardian.com/business/2020/nov/16/equity-prices-soar-as-markets-react-to-moderna-vaccine,0, ,0.5,0.5,0.530108,0.551255,0.506279,0.5,0.5
Guardian,2020-11-17T19:00:20Z,https://www.theguardian.com/business/2020/nov/17/uk-urged-to-open-up-transatlantic-corridors-as-covid-free-flight-arrives,0, ,0.5,0.5,0.5,0.5,0.701188,0.5,0.5
Guardian,2020-11-19T17:06:12Z,https://www.theguardian.com/business/2020/nov/19/one-in-seven-uk-businesses-in-fear-of-collapse-survey-shows,0, ,0.5,0.5,0.5,0.59916,0.598321,0.5,0.5
Guardian,2020-11-20T14:36:53Z,https://www.theguardian.com/business/2020/nov/20/nationwide-open-to-offering-low-deposit-mortgages-says-boss-half-year-results,0, ,0.5,0.5,0.5,0.518383,0.779078,0.5,0.5
Guardian,2020-11-18T19:28:23Z,https://www.theguardian.com/business/2020/nov/18/uk-restaurants-and-pubs-call-for-help-as-72-fear-closing-permanently,0, ,0.5,0.642726,0.598893,0.5,0.789534,0.5,0.5
Guardian,2020-11-15T17:53:19Z,https://www.theguardian.com/business/2020/nov/15/arcadia-in-talks-over-possible-30m-loan-after-covid-sales-loss,0, ,0.5,0.5,0.5,0.575178,0.59341,0.5,0.5
Guardian,2020-11-18T19:34:31Z,https://www.theguardian.com/business/2020/nov/18/norwegian-air-files-for-bankruptcy-protection-in-ireland,0, ,0.5,0.5,0.5,0.5,0.811867,0.5,0.5
Guardian,2020-11-17T17:18:10Z,https://www.theguardian.com/business/2020/nov/17/lockdown-and-black-friday-set-up-record-breaking-month-for-uk-online-retail,0, ,0.5,0.5,0.575131,0.526547,0.790708,0.5,0.5
Guardian,2020-11-17T10:44:12Z,https://www.theguardian.com/business/2020/nov/17/easyjet-loss-covid-cut-flights-vaccine-bookings,0, ,0.5,0.5,0.548416,0.5,0.588033,0.5,0.5
Guardian,2020-11-15T15:10:53Z,https://www.theguardian.com/business/2020/nov/15/supermarkets-should-pay-back-19bn-covid-business-rates-relief-say-mps,0, ,0.5,0.606122,0.558466,0.52281,0.561831,0.5,0.5
Guardian,2020-11-19T18:15:55Z,https://www.theguardian.com/business/2020/nov/19/mike-ashley-frasers-group-increases-stake-mulberry-sports-direct-takeover,0, ,0.5,0.5,0.592185,0.5,0.65541,0.5,0.5
