Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
Guardian,2020-08-21T19:41:26Z,https://www.theguardian.com/business/2020/aug/21/sta-travel-goes-bust-amid-deepening-coronavirus-crisis,1, ,0.5,0.5,0.505052,0.5,0.737699,0.5,0.5
Guardian,2020-08-20T02:44:25Z,https://www.theguardian.com/business/2020/aug/20/qantas-blames-coronavirus-for-2bn-loss-in-worst-financial-result-for-a-century,1, ,0.5,0.5,0.5,0.598848,0.551211,0.5,0.5
Guardian,2020-08-18T18:56:55Z,https://www.theguardian.com/business/nils-pratley-on-finance/2020/aug/18/marks-spencer-job-cuts-highlight-how-slowly-change-is-coming,1, ,0.5,0.5,0.602711,0.569341,0.693802,0.5,0.5
Guardian,2020-08-18T11:11:48Z,https://www.theguardian.com/business/2020/aug/18/coronavirus-marks-spencer-to-cut-7000-jobs-over-three-months,1, ,0.5,0.5,0.505772,0.602032,0.578526,0.5,0.5
Guardian,2020-08-21T08:37:07Z,https://www.theguardian.com/business/2020/aug/21/uk-retail-sales-rise-above-pre-covid-levels-as-lockdown-eases,1, ,0.5,0.5,0.5,0.5,0.649638,0.5,0.5
Guardian,2020-08-21T13:01:38Z,https://www.theguardian.com/business/2020/aug/21/cinemas-await-tenet-release-to-test-movie-goers-appetite-for-big-screen-christopher-nolan,1, ,0.5,0.5,0.57349,0.564784,0.5,0.5,0.5
Guardian,2020-08-19T23:01:04Z,https://www.theguardian.com/business/2020/aug/20/pandemic-prompts-doubling-of-online-grocery-shoppers-in-uk,1, ,0.5,0.5,0.50546,0.5,0.684062,0.5,0.5
Guardian,2020-08-20T10:16:15Z,https://www.theguardian.com/business/2020/aug/20/uk-car-dealer-sales-rise-as-covid-drives-people-from-public-transport,1, ,0.5,0.5,0.5,0.594638,0.674575,0.5,0.5
Guardian,2020-08-18T18:02:04Z,https://www.theguardian.com/business/2020/aug/18/five-reasons-marks-spencer-is-struggling-against-its-competitors,1, ,0.5,0.5,0.5,0.610234,0.5,0.5,0.631794
Guardian,2020-08-19T07:20:42Z,https://www.theguardian.com/business/2020/aug/19/world-bank-calls-for-greater-debt-relief-for-poorer-countries-in-wake-of-covid-19,1, ,0.5,0.512577,0.507151,0.628015,0.531252,0.5,0.5
