Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
Guardian,2020-12-10T14:19:27Z,https://www.theguardian.com/commentisfree/2020/dec/10/covid-working-women-pandemic-childcare-issues,1, ,0.5,0.540309,0.510318,0.602786,0.59125,0.5,0.677598
Guardian,2020-12-08T17:50:06Z,https://www.theguardian.com/commentisfree/2020/dec/08/dry-eyes-matt-hancock-uk-vaccine-covid-patriotism,1, ,0.5,0.5,0.561248,0.603747,0.5,0.5,0.68613
Guardian,2020-12-09T06:00:31Z,https://www.theguardian.com/commentisfree/2020/dec/09/v-day-vaccine-patriotism-britain,1, ,0.5,0.5,0.578124,0.568621,0.568591,0.5,0.5
Guardian,2020-12-11T09:00:24Z,https://www.theguardian.com/commentisfree/2020/dec/11/uk-deliver-covid-19-vaccine-rollout-challenge,1, ,0.5,0.5,0.545329,0.523418,0.609458,0.5,0.607529
Guardian,2020-12-08T19:44:48Z,https://www.theguardian.com/commentisfree/2020/dec/08/the-guardian-view-on-vaccine-day-an-opportunity-to-seize,1, ,0.5,0.5,0.594085,0.503688,0.625314,0.5,0.539698
Guardian,2020-12-06T12:00:08Z,https://www.theguardian.com/commentisfree/2020/dec/06/wartime-christmases-covid,1, ,0.5,0.5,0.624931,0.590821,0.522359,0.5,0.5
Guardian,2020-12-06T14:00:11Z,https://www.theguardian.com/commentisfree/2020/dec/06/covid-vaccines-hope-uk-crisis-pandemic-financial-hardship,1, ,0.5,0.509657,0.5,0.622086,0.529488,0.5,0.769382
Guardian,2020-12-06T16:30:15Z,https://www.theguardian.com/commentisfree/2020/dec/07/arriving-in-the-us-from-australia-during-covid-was-like-walking-through-the-looking-glass,1, ,0.5,0.5,0.550314,0.562817,0.5,0.5,0.5
Guardian,2020-12-07T16:30:30Z,https://www.theguardian.com/commentisfree/2020/dec/07/england-brexit-care-home-staff-immigration-rules,1, ,0.5,0.5,0.525994,0.605044,0.583415,0.5,0.5
Guardian,2020-12-09T19:11:23Z,https://www.theguardian.com/commentisfree/2020/dec/09/the-guardian-view-on-taxing-the-rich-chip-in-to-help-out,1, ,0.5,0.5,0.5,0.630797,0.5,0.5,0.645744
