Week,Anger_max,Anger_med,Anger_avg,Anger_total,Sad_max,Sad_median,Sad_avg,Sad_total,Fear_max,Fear_med,Fear_avg,Fear_total,Joy_max,Joy_med,Joy_avg,Joy_total,Analy_max,Analy_med,Analy_avg,Analy_total,Confi_max,Confi_med,Confi_avg,Confi_total,Tenta_max,Tenta_med,Tenta_avg,Tenta_total
03.-01-03.-07,0.5,0.5,0.5,0.5,0.5050439999999999,0.5050439999999999,0.5050439999999999,0.5050439999999999,0.6343810000000001,0.6343810000000001,0.6343810000000001,0.6343810000000001,0.5,0.5,0.5,0.5,0.8267959999999999,0.8267959999999999,0.8267959999999999,0.8267959999999999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
03.-08-03.-14,0.5,0.5,0.5,0.5,0.572195,0.5510090000000001,0.5466785000000001,2.1867140000000003,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7597010000000001,0.6559404999999999,0.648476,2.593904,0.5,0.5,0.5,0.5,0.641408,0.543614,0.6143179999999999,1.2286359999999998
03.-15-03.-21,0.5,0.5,0.5,0.5,0.654109,0.6027184999999999,0.6027184999999999,1.2054369999999999,0.5,0.5,0.5,0.5,0.521399,0.5106995,0.521399,0.521399,0.614322,0.6043164999999999,0.6043164999999999,1.2086329999999998,0.5,0.5,0.5,0.5,0.533347,0.5166735,0.533347,0.533347
03.-22-03.-28,0.5,0.5,0.5,0.5,0.612449,0.569083,0.5830327500000001,2.3321310000000004,0.5,0.5,0.5,0.5,0.615844,0.5,0.615844,0.615844,0.8197530000000001,0.777396,0.7621148000000001,3.8105740000000003,0.5,0.5,0.5,0.5,0.777945,0.5,0.70065,1.4013
03.-29-04.-04,0.556824,0.5,0.556824,0.556824,0.605213,0.584993,0.58630675,2.345227,0.5,0.5,0.5,0.5,0.6247729999999999,0.5,0.6135584999999999,1.2271169999999998,0.815674,0.5806020000000001,0.6800506666666667,2.040152,0.5,0.5,0.5,0.5,0.571187,0.5,0.571187,0.571187
04.-05-04.-11,0.5,0.5,0.5,0.5,0.668203,0.5584225,0.578729,2.8936450000000002,0.5,0.5,0.5,0.5,0.5736020000000001,0.5,0.5736020000000001,0.5736020000000001,0.776048,0.668407,0.6689728333333332,4.013837,0.5,0.5,0.5,0.5,0.746071,0.6215955,0.6728085,2.691234
04.-12-04.-18,0.5,0.5,0.5,0.5,0.50039,0.5,0.50039,0.50039,0.56881,0.5,0.56881,0.56881,0.6067640000000001,0.548726,0.5777450000000001,1.1554900000000001,0.8379979999999999,0.7880159999999999,0.8130069999999999,1.6260139999999998,0.5,0.5,0.5,0.5,0.74474,0.5955590000000001,0.6701495,1.340299
04.-19-04.-25,0.5,0.5,0.5,0.5,0.518026,0.5090129999999999,0.518026,0.518026,0.533257,0.5166284999999999,0.533257,0.533257,0.649171,0.5745855,0.649171,0.649171,0.588187,0.5778814999999999,0.5778814999999999,1.1557629999999999,0.5,0.5,0.5,0.5,0.527395,0.5136974999999999,0.527395,0.527395
04.-26-05.-02,0.5,0.5,0.5,0.5,0.622667,0.5,0.622667,0.622667,0.563602,0.5,0.563602,0.563602,0.545315,0.535641,0.5292836666666667,1.5878510000000001,0.851416,0.712312,0.6945556666666667,2.083667,0.5,0.5,0.5,0.5,0.702674,0.5,0.702674,0.702674
05.-03-05.-09,0.5,0.5,0.5,0.5,0.558071,0.5290355,0.558071,0.558071,0.5,0.5,0.5,0.5,0.5947020000000001,0.5502130000000001,0.5502130000000001,1.1004260000000001,0.8608319999999999,0.6804159999999999,0.8608319999999999,0.8608319999999999,0.5,0.5,0.5,0.5,0.75167,0.7033035,0.7033035,1.406607
