Week,Anger_max,Anger_med,Anger_avg,Sad_max,Sad_median,Sad_avg,Fear_max,Fear_med,Fear_avg,Joy_max,Joy_med,Joy_avg,Analy_max,Analy_med,Analy_avg,Confi_max,Confi_med,Confi_avg,Tenta_max,Tenta_med,Tenta_avg
03.01-03.07,0.5059279999999999,0.5,0.5059279999999999,0.564583,0.516969,0.52867375,0.5,0.5,0.5,0.609579,0.543031,0.5586325,0.626115,0.508715,0.5716653333333332,0.5,0.5,0.5,0.7595189999999999,0.5250330000000001,0.6263254285714285
03.08-03.14,0.576801,0.5,0.576801,0.5402640000000001,0.516189,0.522961857142857,0.5722729999999999,0.5,0.5449266666666667,0.541623,0.5,0.5263325,0.7086100000000001,0.5792349999999999,0.6313583333333334,0.5,0.5,0.5,0.8022279999999999,0.5124425,0.6063826
03.15-03.21,0.5,0.5,0.5,0.5734630000000001,0.5265880000000001,0.5430008571428572,0.512628,0.5,0.512628,0.553646,0.503215,0.5243770000000001,0.708563,0.6299155000000001,0.6220215,0.5,0.5,0.5,0.7692859999999999,0.5131939999999999,0.6342861999999999
03.22-03.28,0.5,0.5,0.5,0.575839,0.5461564999999999,0.5449165555555555,0.531921,0.5,0.531921,0.574782,0.5,0.5542705,0.678071,0.5626089999999999,0.5795582499999999,0.5,0.5,0.5,0.762592,0.6027054999999999,0.670387
03.29-04.04,0.5,0.5,0.5,0.609785,0.5654965000000001,0.5658273333333333,0.55307,0.5,0.55307,0.534898,0.508662,0.5212871666666666,0.661737,0.5544979999999999,0.5966393333333333,0.5,0.5,0.5,0.662759,0.5,0.612956
04.05-04.11,0.5,0.5,0.5,0.576009,0.5302150000000001,0.5337969000000001,0.521245,0.5,0.521245,0.600733,0.5,0.55007875,0.693128,0.6000025,0.6043697777777778,0.5,0.5,0.5,0.726491,0.5420910000000001,0.603144
04.12-04.18,0.5,0.5,0.5,0.589258,0.528742,0.5360971000000001,0.566605,0.5,0.5262233333333334,0.589604,0.5182230000000001,0.5358835714285715,0.790301,0.5204915,0.6226781666666668,0.5,0.5,0.5,0.7602909999999999,0.5,0.69594
04.19-04.25,0.5,0.5,0.5,0.620452,0.5218214999999999,0.5456348571428571,0.5,0.5,0.5,0.5938869999999999,0.5,0.5552146666666666,0.667324,0.615192,0.620581375,0.5,0.5,0.5,0.765416,0.5,0.64046825
04.26-05.02,0.5,0.5,0.5,0.591801,0.535382,0.5416426000000001,0.5,0.5,0.5,0.559645,0.5,0.53810025,0.7769689999999999,0.6748719999999999,0.6885125555555556,0.5,0.5,0.5,0.683833,0.53443,0.6057674000000001
05.03-05.09,0.5,0.5,0.5,0.585585,0.538363,0.553865625,0.564448,0.5,0.564448,0.594424,0.5060370000000001,0.5464667999999999,0.698965,0.634271,0.6165358888888889,0.5,0.5,0.5,0.663119,0.5,0.6409147500000001
05.10-05.16,0.5,0.5,0.5,0.620767,0.5533870000000001,0.5612036666666668,0.568076,0.5,0.568076,0.559284,0.5020614999999999,0.5258988,0.7052689999999999,0.6149345,0.6293287777777778,0.5,0.5,0.5,0.714272,0.5286835000000001,0.6153256666666667
05.17-05.23,0.5,0.5,0.5,0.5531520000000001,0.524523,0.5295875555555556,0.507157,0.5,0.507157,0.561859,0.5,0.52843825,0.671461,0.5886245000000001,0.608412875,0.5,0.5,0.5,0.6457149999999999,0.5,0.56229875
05.24-05.30,0.5,0.5,0.5,0.615764,0.52348,0.5717366,0.554685,0.5,0.548908,0.5702050000000001,0.5,0.5316165,0.6535770000000001,0.560974,0.5868165714285715,0.5,0.5,0.5,0.769526,0.5057780000000001,0.5863436
05.31-06.06,0.573717,0.5,0.5470395,0.594557,0.539508,0.5577147142857143,0.5,0.5,0.5,0.574389,0.5121739999999999,0.528503,0.6991689999999999,0.582401,0.6162885714285714,0.5,0.5,0.5,0.6629510000000001,0.5,0.575951
06.07-06.13,0.5,0.5,0.5,0.615584,0.5462184999999999,0.5650881666666667,0.534313,0.5,0.534313,0.577062,0.5072525000000001,0.5267606666666668,0.7024630000000001,0.5719989999999999,0.598951625,0.5,0.5,0.5,0.630896,0.5412905,0.5764848571428571
06.14-06.20,0.5,0.5,0.5,0.55709,0.5089764999999999,0.5257755000000001,0.568902,0.5,0.568902,0.549196,0.5,0.52203975,0.617158,0.5001255,0.5612321999999998,0.5,0.5,0.5,0.7380439999999999,0.524988,0.5961928333333333
06.21-06.27,0.5,0.5,0.5,0.627667,0.5183015,0.5473168571428572,0.5,0.5,0.5,0.575114,0.5053825,0.5431222,0.747384,0.6254145,0.6498855,0.5,0.5,0.5,0.844842,0.5189535000000001,0.67366
06.28-07.04,0.5,0.5,0.5,0.577455,0.5206025000000001,0.5401114285714286,0.5166970000000001,0.5,0.5166970000000001,0.594738,0.5,0.5376686666666667,0.646782,0.5256925,0.5568572857142857,0.5,0.5,0.5,0.715758,0.5,0.60299775
07.05-07.11,0.5,0.5,0.5,0.558318,0.5225550000000001,0.5341205714285715,0.503793,0.5,0.503793,0.544079,0.5043839999999999,0.5289264,0.7233649999999999,0.61905,0.6088676666666667,0.5,0.5,0.5,0.77792,0.5,0.7207877500000001
07.12-07.18,0.5,0.5,0.5,0.570579,0.528259,0.539082,0.6064039999999999,0.5,0.6064039999999999,0.5571619999999999,0.5059835,0.533329,0.7007720000000001,0.5816870000000001,0.6031095,0.5,0.5,0.5,0.612442,0.5,0.5791656666666666
