Week,Anger_max,Anger_med,Anger_avg,Sad_max,Sad_median,Sad_avg,Fear_max,Fear_med,Fear_avg,Joy_max,Joy_med,Joy_avg,Analy_max,Analy_med,Analy_avg,Confi_max,Confi_med,Confi_avg,Tenta_max,Tenta_med,Tenta_avg
03.01-03.07,0.5845739999999999,0.5,0.5845739999999999,0.609588,0.515594,0.5482284285714286,0.531572,0.5,0.531572,0.548609,0.5,0.5326696666666667,0.725919,0.5493775000000001,0.61207725,0.5,0.5,0.5,0.869819,0.5177510000000001,0.647425
03.08-03.14,0.524562,0.5,0.524562,0.630494,0.548388,0.5563986666666666,0.604088,0.5,0.5953744999999999,0.571914,0.5,0.53752975,0.793122,0.5820909999999999,0.7032374,0.5,0.5,0.5,0.784651,0.5,0.6518825
03.15-03.21,0.5,0.5,0.5,0.602291,0.5602395,0.570616875,0.557354,0.5,0.5505845,0.560932,0.5,0.53140775,0.6947989999999999,0.5738030000000001,0.6767872,0.5,0.5,0.5,0.778671,0.6288400000000001,0.6526978888888889
03.22-03.28,0.5410659999999999,0.5,0.5410659999999999,0.563619,0.519037,0.5321415,0.607763,0.5,0.607763,0.565416,0.5,0.5332823333333333,0.749681,0.6028445,0.6250729999999999,0.5,0.5,0.5,0.687517,0.536245,0.5888753333333333
03.29-04.04,0.5,0.5,0.5,0.561809,0.523514,0.530808625,0.522053,0.5,0.522053,0.6267229999999999,0.5,0.5550404999999999,0.769516,0.5,0.7178663333333333,0.5,0.5,0.5,0.635296,0.5,0.5944143333333334
04.05-04.11,0.5,0.5,0.5,0.573114,0.536394,0.5468242857142858,0.584573,0.5,0.563706,0.593626,0.5,0.565141,0.773279,0.6216615000000001,0.6543051249999999,0.5,0.5,0.5,0.721703,0.51949,0.5942046666666667
04.12-04.18,0.5,0.5,0.5,0.607677,0.5572170000000001,0.5586551999999999,0.527652,0.5,0.527611,0.583964,0.5,0.554603,0.746526,0.550137,0.6425960000000001,0.5,0.5,0.5,0.757887,0.5288685,0.6637318000000001
04.19-04.25,0.506149,0.5,0.506149,0.618097,0.5294175,0.5452414444444443,0.630871,0.5,0.630871,0.600557,0.509864,0.5538388,0.7439899999999999,0.561608,0.6503147142857142,0.5,0.5,0.5,0.817773,0.524635,0.668308
04.26-05.02,0.5,0.5,0.5,0.623102,0.5540525000000001,0.5638335,0.5,0.5,0.5,0.543455,0.5,0.524015,0.747261,0.6556109999999999,0.6561487777777778,0.5,0.5,0.5,0.683446,0.541965,0.615027
05.03-05.09,0.5,0.5,0.5,0.590174,0.520002,0.5472318333333334,0.567142,0.5,0.567142,0.551446,0.5151030000000001,0.5402114,0.7048909999999999,0.614623,0.6190635555555555,0.5,0.5,0.5,0.694615,0.5392859999999999,0.5857988571428571
05.10-05.16,0.5,0.5,0.5,0.645558,0.5498715000000001,0.5681844285714286,0.5,0.5,0.5,0.583712,0.5030969999999999,0.5282943999999999,0.792977,0.6033014999999999,0.6166386000000001,0.5,0.5,0.5,0.738133,0.5,0.6043565
05.17-05.23,0.5,0.5,0.5,0.59345,0.556841,0.5543645555555555,0.566734,0.5,0.566734,0.609831,0.5006554999999999,0.5485138,0.692707,0.5759515,0.6275643333333333,0.5,0.5,0.5,0.752783,0.5304154999999999,0.5926902499999999
05.24-05.30,0.5,0.5,0.5,0.5733199999999999,0.5421725000000001,0.5476837499999999,0.5,0.5,0.5,0.5805859999999999,0.5,0.5434405,0.6068399999999999,0.5305264999999999,0.5696981666666666,0.5,0.5,0.5,0.847151,0.5,0.847151
05.31-06.06,0.5,0.5,0.5,0.594262,0.5620255,0.557904111111111,0.524354,0.5,0.516672,0.5353600000000001,0.5,0.5353600000000001,0.82219,0.5896135,0.633864,0.5,0.5,0.5,0.792437,0.673932,0.67989525
06.07-06.13,0.5,0.5,0.5,0.617174,0.5416084999999999,0.5486881000000001,0.524651,0.5,0.524651,0.572176,0.507474,0.5369612,0.853294,0.5638245,0.657331,0.5,0.5,0.5,0.7424649999999999,0.5013865,0.5942124999999999
06.14-06.20,0.5,0.5,0.5,0.572475,0.5227189999999999,0.545624,0.578915,0.5,0.578915,0.556878,0.5,0.546208,0.716743,0.5559795,0.6141688571428572,0.5,0.5,0.5,0.7711560000000001,0.5263285,0.6034696666666667
06.21-06.27,0.5,0.5,0.5,0.588886,0.530301,0.5475555000000001,0.5774189999999999,0.5,0.5774189999999999,0.545403,0.5,0.5228303333333333,0.710438,0.5321905,0.6106998571428571,0.5,0.5,0.5,0.829837,0.5828645,0.653227375
06.28-07.04,0.5,0.5,0.5,0.6014510000000001,0.5405565000000001,0.553604625,0.5998560000000001,0.5,0.5998560000000001,0.6168520000000001,0.5,0.5655920000000001,0.663547,0.502108,0.5644574,0.5,0.5,0.5,0.76647,0.6256565000000001,0.6621388571428571
07.05-07.11,0.5,0.5,0.5,0.631257,0.5550045,0.557792111111111,0.518297,0.5,0.518297,0.60136,0.5043329999999999,0.5346567999999999,0.631957,0.521048,0.5504584285714286,0.5,0.5,0.5,0.8975799999999999,0.5974295000000001,0.653971125
07.12-07.18,0.5,0.5,0.5,0.625221,0.5302535,0.5561168571428571,0.5,0.5,0.5,0.592767,0.533118,0.5486722857142857,0.763936,0.649346,0.6828034285714286,0.5,0.5,0.5,0.8905639999999999,0.5677145,0.6653939999999999
07.19-07.25,0.5,0.5,0.5,0.5877060000000001,0.5576654999999999,0.554402125,0.5,0.5,0.5,0.51378,0.5,0.5081264999999999,0.7844180000000001,0.5636565,0.6471556250000001,0.5,0.5,0.5,0.839356,0.628567,0.6785149999999999
07.26-08.01,0.5,0.5,0.5,0.574204,0.553701,0.5512657777777777,0.5,0.5,0.5,0.574847,0.50098,0.5411307999999999,0.677851,0.5209314999999999,0.5931628333333333,0.5,0.5,0.5,0.6216430000000001,0.5301480000000001,0.5601013333333335
08.02-08.08,0.5,0.5,0.5,0.608183,0.5677495,0.5733914444444445,0.521141,0.5,0.521141,0.5969760000000001,0.5,0.5625215,0.804114,0.5168295,0.613416,0.5,0.5,0.5,0.7158180000000001,0.566775,0.5994422500000001
