Week,Anger_max,Anger_med,Anger_avg,Sad_max,Sad_median,Sad_avg,Fear_max,Fear_med,Fear_avg,Joy_max,Joy_med,Joy_avg,Analy_max,Analy_med,Analy_avg,Confi_max,Confi_med,Confi_avg,Tenta_max,Tenta_med,Tenta_avg
03.08-03.14,0.5,0.5,0.5,0.55725,0.55725,0.55725,0.5,0.5,0.5,0.503141,0.503141,0.503141,0.680476,0.680476,0.680476,0.5,0.5,0.5,0.7481369999999999,0.7481369999999999,0.7481369999999999
03.15-03.21,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.540325,0.540325,0.540325,0.55416,0.55416,0.55416,0.5,0.5,0.5,0.532986,0.532986,0.532986
03.22-03.28,0.5,0.5,0.5,0.584955,0.5166735,0.541716,0.566178,0.5,0.566178,0.549551,0.5,0.5273755,0.762356,0.6270519999999999,0.68042625,0.5,0.5,0.5,0.80977,0.5,0.8057730000000001
04.05-04.11,0.5,0.5,0.5,0.544193,0.5404195,0.5404195,0.5,0.5,0.5,0.549247,0.5260435,0.5260435,0.656909,0.5784545,0.656909,0.5,0.5,0.5,0.6106520000000001,0.555326,0.6106520000000001
04.12-04.18,0.5,0.5,0.5,0.611378,0.544176,0.55099925,0.5,0.5,0.5,0.583681,0.528122,0.5375154999999999,0.8506969999999999,0.6078684999999999,0.7832169999999999,0.5,0.5,0.5,0.795016,0.621274,0.6791879999999999
04.19-04.25,0.5,0.5,0.5,0.5521689999999999,0.5468819999999999,0.5468819999999999,0.5,0.5,0.5,0.563858,0.531929,0.563858,0.612444,0.556222,0.612444,0.5,0.5,0.5,0.702154,0.601077,0.702154
04.26-05.02,0.5,0.5,0.5,0.560511,0.560511,0.560511,0.5,0.5,0.5,0.503073,0.503073,0.503073,0.6409239999999999,0.6409239999999999,0.6409239999999999,0.5,0.5,0.5,0.788916,0.788916,0.788916
05.03-05.09,0.5,0.5,0.5,0.549809,0.5249045,0.549809,0.5,0.5,0.5,0.533651,0.5324340000000001,0.5324340000000001,0.772442,0.6362209999999999,0.772442,0.5,0.5,0.5,0.805467,0.759644,0.759644
05.17-05.23,0.5,0.5,0.5,0.55474,0.55474,0.55474,0.5,0.5,0.5,0.5,0.5,0.5,0.789083,0.789083,0.789083,0.5,0.5,0.5,0.749975,0.749975,0.749975
05.31-06.06,0.5,0.5,0.5,0.604518,0.604518,0.604518,0.5,0.5,0.5,0.5,0.5,0.5,0.577865,0.577865,0.577865,0.5,0.5,0.5,0.5,0.5,0.5
