Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
Guardian,2020-09-23T12:18:08Z,https://www.theguardian.com/business/2020/sep/23/coronavirus-pandemic-has-wiped-out-dollars-3tn-in-wages-says-ilo,0, ,0.5,0.5,0.5,0.559662,0.578094,0.5,0.552648
Guardian,2020-09-26T16:00:20Z,https://www.theguardian.com/business/2020/sep/26/tory-split-on-covid-and-economy-saw-off-joined-up-strategy,0, ,0.5,0.5,0.5,0.565956,0.695077,0.5,0.5
Guardian,2020-09-23T12:46:44Z,https://www.theguardian.com/business/2020/sep/23/ssp-upper-crust-owner-predicts-sales-down-86-as-covid-affects-travel,0, ,0.5,0.5,0.518479,0.614177,0.722799,0.5,0.633787
Guardian,2020-09-23T11:34:35Z,https://www.theguardian.com/business/2020/sep/23/hsbc-and-goldman-sachs-delay-plans-for-return-to-offices-in-england-covid-19,0, ,0.5,0.5,0.5,0.509064,0.531042,0.5,0.5
Guardian,2020-09-22T07:23:32Z,https://www.theguardian.com/business/2020/sep/22/lack-covid-help-poor-countries-haunt-west-un-aid-chief-mark-lowcock,0, ,0.5,0.5,0.5,0.620068,0.784789,0.5,0.5
Guardian,2020-09-21T12:18:07Z,https://www.theguardian.com/business/2020/sep/21/rishi-sunak-to-extend-emergency-covid-19-business-loan-schemes-second-wave-coronavirus,0, ,0.5,0.639275,0.5,0.5,0.553082,0.5,0.5
Guardian,2020-09-24T13:29:30Z,https://www.theguardian.com/business/2020/sep/24/morrisons-becomes-first-large-supermarket-to-reinstate-covid-rationing-purchase-limit-toilet-roll-empty-shelves,0, ,0.5,0.5,0.5,0.523326,0.777022,0.5,0.514157
Guardian,2020-09-24T16:31:06Z,https://www.theguardian.com/business/2020/sep/24/google-staff-return-office-full-time-homeworking-sundar-pichai,0, ,0.5,0.5,0.578553,0.5,0.549759,0.5,0.770157
Guardian,2020-09-23T18:38:43Z,https://www.theguardian.com/business/2020/sep/23/uk-supermarkets-urge-shoppers-not-to-panic-buy-over-lockdown-fears,0, ,0.5,0.5,0.5,0.5,0.733154,0.5,0.5
Guardian,2020-09-23T09:52:05Z,https://www.theguardian.com/business/2020/sep/23/uk-economic-recovery-loses-momentum-even-before-new-covid-curbs,0, ,0.5,0.5,0.538155,0.584722,0.733592,0.5,0.616216
Guardian,2020-09-21T21:30:00Z,https://www.theguardian.com/business/2020/sep/21/curfews-will-ruin-sector-already-on-its-knees-pubs-warn-boris-johnson,0, ,0.5,0.5,0.5,0.540989,0.580037,0.5,0.5
Guardian,2020-09-21T18:15:03Z,https://www.theguardian.com/business/2020/sep/21/ftse-100-shares-second-covid-lockdown-matt-hancock,0, ,0.5,0.5,0.5,0.592717,0.553025,0.5,0.545099
Guardian,2020-09-25T13:11:07Z,https://www.theguardian.com/business/2020/sep/25/bar-chain-revolution-weighs-up-closures-over-covid-curfew,0, ,0.5,0.631405,0.51186,0.5,0.891194,0.5,0.5
Guardian,2020-09-23T11:34:35Z,https://www.theguardian.com/business/2020/sep/23/hsbc-and-goldman-sachs-delay-plans-for-return-to-offices-in-england-covid-19,0, ,0.5,0.5,0.5,0.509064,0.531042,0.5,0.5
Guardian,2020-09-22T15:29:59Z,https://www.theguardian.com/business/2020/sep/22/business-warn-boris-johnson-over-u-turn-on-office-working,0, ,0.5,0.5,0.5,0.547711,0.5,0.5,0.5
Guardian,2020-09-22T07:23:32Z,https://www.theguardian.com/business/2020/sep/22/lack-covid-help-poor-countries-haunt-west-un-aid-chief-mark-lowcock,0, ,0.5,0.5,0.5,0.620068,0.784789,0.5,0.5
Guardian,2020-09-25T09:54:34Z,https://www.theguardian.com/business/2020/sep/25/uk-borrowing-surges-as-covid-pushes-national-debt-to-record,0, ,0.5,0.5,0.5,0.611929,0.662522,0.5,0.5
Guardian,2020-09-21T12:18:07Z,https://www.theguardian.com/business/2020/sep/21/rishi-sunak-to-extend-emergency-covid-19-business-loan-schemes-second-wave-coronavirus,0, ,0.5,0.639275,0.5,0.5,0.553082,0.5,0.5
Guardian,2020-09-24T13:29:30Z,https://www.theguardian.com/business/2020/sep/24/morrisons-becomes-first-large-supermarket-to-reinstate-covid-rationing-purchase-limit-toilet-roll-empty-shelves,0, ,0.5,0.5,0.5,0.523326,0.777022,0.5,0.514157
Guardian,2020-09-21T17:20:28Z,https://www.theguardian.com/business/2020/sep/21/jet-engine-maker-rolls-royce-considering-cash-call-coronavirus-crisis,0, ,0.5,0.5,0.5,0.556645,0.854735,0.5,0.528248
Guardian,2020-09-25T13:11:07Z,https://www.theguardian.com/business/2020/sep/25/bar-chain-revolution-weighs-up-closures-over-covid-curfew,0, ,0.5,0.631405,0.51186,0.5,0.891194,0.5,0.5
Guardian,2020-09-25T09:54:34Z,https://www.theguardian.com/business/2020/sep/25/uk-borrowing-surges-as-covid-pushes-national-debt-to-record,0, ,0.5,0.5,0.5,0.611929,0.662522,0.5,0.5
Guardian,2020-09-24T07:16:25Z,https://www.theguardian.com/business/2020/sep/24/cineworld-issues-warning-over-future-after-loss-covid-19,0, ,0.5,0.5,0.5,0.525356,0.8173,0.5,0.635881
Guardian,2020-09-25T11:43:01Z,https://www.theguardian.com/business/2020/sep/25/online-shopping-makes-many-high-street-jobs-unviable-say-next-boss,0, ,0.5,0.5,0.5,0.58835,0.5,0.5,0.5
Guardian,2020-09-25T14:50:31Z,https://www.theguardian.com/business/2020/sep/25/tesco-sales-covid-rationing-toilet-roll-flour,0, ,0.5,0.5,0.5,0.5,0.592747,0.5,0.5
Guardian,2020-09-21T13:00:45Z,https://www.theguardian.com/business/2020/sep/21/career-stress-the-average-age-of-burnout-is-now-32-and-home-working-is-making-it-worse,0, ,0.518844,0.5,0.5,0.613888,0.621187,0.5,0.654965
Guardian,2020-09-22T18:03:40Z,https://www.theguardian.com/business/2020/sep/22/holiday-firm-tui-cuts-winter-schedule-amid-83-fall-in-bookings,0, ,0.5,0.5,0.5,0.521968,0.568698,0.5,0.5
Guardian,2020-09-24T11:13:23Z,https://www.theguardian.com/business/2020/sep/24/willie-walsh-takes-cartrawler-role-after-leaving-ba-owner-iag,0, ,0.5,0.5,0.504625,0.548495,0.744909,0.5,0.5
Guardian,2020-09-21T05:00:05Z,https://www.theguardian.com/business/2020/sep/21/flood-of-complaints-expected-over-covid-19-uk-business-loans,0, ,0.5,0.5,0.5,0.5,0.7903,0.5,0.5
Guardian,2020-09-21T21:26:06Z,https://www.theguardian.com/business/2020/sep/21/us-stock-markets-fall-dow-drops-510-points-coronavirus-fears,0, ,0.5,0.5,0.5,0.662513,0.5,0.5,0.641921
Guardian,2020-09-21T21:26:06Z,https://www.theguardian.com/business/2020/sep/21/us-stock-markets-fall-dow-drops-510-points-coronavirus-fears,0, ,0.5,0.5,0.5,0.662513,0.5,0.5,0.641921
Guardian,2020-09-20T16:02:21Z,https://www.theguardian.com/business/2020/sep/20/morrisons-reinstates-door-marshals-to-prepare-for-covid-19-second-wave,0, ,0.5,0.5,0.5,0.5,0.761969,0.5,0.5
Guardian,2020-09-25T13:43:55Z,https://www.theguardian.com/business/2020/sep/25/sir-jim-ratcliffe-uks-richest-person-moves-to-tax-free-monaco-brexit-ineos-domicile,0, ,0.5,0.5,0.5,0.612919,0.660603,0.5,0.5
Guardian,2020-09-22T13:15:06Z,https://www.theguardian.com/business/2020/sep/22/private-equity-group-apollo-buy-asda-walmart-lone-star,0, ,0.5,0.5,0.5,0.502093,0.763582,0.5,0.569093
Guardian,2020-09-24T05:00:05Z,https://www.theguardian.com/business/2020/sep/24/tesco-dave-lewis-calls-on-companies-and-countries-to-tackle-food-waste,0, ,0.5,0.5,0.561772,0.55504,0.595164,0.5,0.5
Guardian,2020-09-25T05:11:34Z,https://www.theguardian.com/business/2020/sep/25/solomon-lew-to-get-24m-in-dividends-after-retail-group-given-70m-in-covid-subsidies,0, ,0.5,0.5,0.5,0.5,0.53347,0.5,0.597121
Guardian,2020-09-22T18:50:46Z,https://www.theguardian.com/business/2020/sep/22/natwest-unveils-savings-account-offering-interest,0, ,0.5,0.5,0.512692,0.5,0.537983,0.5,0.685942
Guardian,2020-09-24T11:00:44Z,https://www.theguardian.com/business/2020/sep/24/small-business-fraud-stories,0, ,0.5,0.5,0.5,0.5,0.527473,0.5,0.5
Guardian,2020-09-21T05:01:05Z,https://www.theguardian.com/business/2020/sep/21/manufacturers-slash-investment-as-bailout-scheme-gathers-dust,0, ,0.5,0.5,0.5,0.595829,0.716464,0.5,0.5
Guardian,2020-09-26T23:05:28Z,https://www.theguardian.com/business/2020/sep/27/as-rent-day-looms-its-the-landlords-turn-to-be-worried,0, ,0.5,0.5,0.5,0.567693,0.655657,0.5,0.654443
Guardian,2020-09-21T05:01:05Z,https://www.theguardian.com/business/2020/sep/21/manufacturers-slash-investment-as-bailout-scheme-gathers-dust,0, ,0.5,0.5,0.5,0.595829,0.716464,0.5,0.5
Guardian,2020-09-26T20:00:24Z,https://www.theguardian.com/business/commentisfree/2020/sep/26/in-this-recession-low-paid-women-and-those-without-a-degree-are-being-hit-hardest-in-australia,0, ,0.5,0.5,0.5,0.650112,0.602646,0.5,0.5
Guardian,2020-09-24T18:54:33Z,https://www.theguardian.com/business/2020/sep/24/hundreds-of-city-firms-at-risk-of-collapse-because-of-covid-fca-warns,0, ,0.527082,0.5,0.5,0.585125,0.769254,0.5,0.5
Guardian,2020-09-26T10:15:09Z,https://www.theguardian.com/business/2020/sep/26/covid-has-left-easyjet-hanging-by-thread-union-official-tells-staff,0, ,0.57599,0.5,0.5,0.5,0.705054,0.5,0.5
Guardian,2020-09-24T06:43:57Z,https://www.theguardian.com/business/2020/sep/24/liberals-drop-obsession-with-debt-and-deficit-to-focus-on-job-creation,0, ,0.5,0.5,0.5,0.501694,0.569355,0.5,0.5
Guardian,2020-09-26T20:00:25Z,https://www.theguardian.com/business/2020/sep/27/from-boom-to-despair-sydneys-west-to-suffer-covid-symptoms-for-generations,0, ,0.5,0.504723,0.5,0.632134,0.582538,0.5,0.509455
Guardian,2020-09-20T12:58:47Z,https://www.theguardian.com/business/2020/sep/20/more-long-term-thinking-is-needed-to-protect-the-uk-economy-rishi-sunal-covid-19,0, ,0.5,0.5,0.593406,0.600186,0.585566,0.5,0.5
Guardian,2020-09-25T17:18:55Z,https://www.theguardian.com/business/2020/sep/25/boohoo-report-reveals-factory-fire-risk-among-supply-chain-failings,0, ,0.5,0.5,0.5,0.586829,0.839328,0.5,0.5
Guardian,2020-09-24T09:00:04Z,https://www.theguardian.com/business/2020/sep/24/walmart-workers-hours-pay-great-workplace,0, ,0.5,0.5,0.5,0.550889,0.624349,0.5,0.5
Guardian,2020-09-20T09:00:41Z,https://www.theguardian.com/business/2020/sep/20/us-airlines-government-aid-set-to-expire,0, ,0.5,0.5,0.5,0.556378,0.706886,0.5,0.674921
Guardian,2020-09-20T06:00:38Z,https://www.theguardian.com/business/2020/sep/20/wfh-not-office-working-from-home-2020-radical-change-effects-lockdown,0, ,0.5,0.549425,0.566224,0.574982,0.634673,0.5,0.649134
