Week,Anger_max,Anger_med,Anger_avg,Anger_total,Anger_ratio,Sad_max,Sad_median,Sad_avg,Sad_total,Sad_ratio,Fear_max,Fear_med,Fear_avg,Fear_total,Fear_ratio,Joy_max,Joy_med,Joy_avg,Joy_total,Joy_ratio,Analy_max,Analy_med,Analy_avg,Analy_total,Analy_ratio,Confi_max,Confi_med,Confi_avg,Confi_total,Confi_ratio,Tenta_max,Tenta_med,Tenta_avg,Tenta_total,Tenta_ratio
2019-12-29,0.5,0.5,0.5,0.5,0.0,0.507776,0.507776,0.507776,0.507776,100.0,0.5,0.5,0.5,0.5,0.0,0.658434,0.658434,0.658434,0.658434,100.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0
2020-01-05,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0
2020-01-12,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0
2020-01-19,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0
2020-01-26,0.5,0.5,0.5,0.5,0.0,0.555512,0.527756,0.555512,0.555512,50.0,0.5,0.5,0.5,0.5,0.0,0.556746,0.5564385000000001,0.5564385000000001,1.1128770000000001,100.0,0.8322129999999999,0.777171,0.777171,1.554342,100.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0
2020-02-02,0.5,0.5,0.5,0.5,0.0,0.564971,0.564971,0.564971,0.564971,100.0,0.5,0.5,0.5,0.5,0.0,0.550465,0.550465,0.550465,0.550465,100.0,0.539535,0.539535,0.539535,0.539535,100.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0
2020-02-09,0.5,0.5,0.5,0.5,0.0,0.527034,0.523085,0.5250595,1.050119,66.66666666666666,0.589805,0.550064,0.548984,1.646952,100.0,0.5864739999999999,0.564616,0.571715,1.715145,100.0,0.7451770000000001,0.70465,0.6511939999999999,1.953582,100.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0
2020-02-16,0.5,0.5,0.5,0.5,0.0,0.5676680000000001,0.537153,0.5524105,1.104821,66.66666666666666,0.5,0.5,0.5,0.5,0.0,0.609974,0.538667,0.5743205,1.148641,66.66666666666666,0.653972,0.639927,0.61277,1.83831,100.0,0.5,0.5,0.5,0.5,0.0,0.583376,0.5,0.583376,0.583376,33.33333333333333
2020-02-23,0.5,0.5,0.5,0.5,0.0,0.5755779999999999,0.5304220000000001,0.5423501111111112,4.881151000000001,81.81818181818183,0.6574439999999999,0.5,0.593783,2.375132,36.36363636363637,0.60317,0.532168,0.5553276666666667,4.997949,81.81818181818183,0.725442,0.5907220000000001,0.635712,5.085696,72.72727272727273,0.5,0.5,0.5,0.5,0.0,0.754371,0.5,0.603266,2.413064,36.36363636363637
2020-03-01,0.652208,0.5,0.652208,0.652208,4.3478260869565215,0.6203029999999999,0.534267,0.5538501764705882,9.415453,73.91304347826086,0.620827,0.5,0.5560692857142857,3.892485,30.434782608695656,0.658576,0.567503,0.5781291052631579,10.984452999999998,82.6086956521739,0.8339209999999999,0.572774,0.6765394615384616,8.795013,56.52173913043478,0.5,0.5,0.5,0.5,0.0,0.783347,0.5,0.6410982,6.410982,43.47826086956522
2020-03-08,0.544315,0.5,0.544315,0.544315,2.5,0.584067,0.5206365000000001,0.5424951428571428,15.189864,70.0,0.6460319999999999,0.5,0.5760466,5.760465999999999,25.0,0.6753520000000001,0.5552915,0.5681314545454544,18.748337999999997,82.5,0.881336,0.5668205,0.6309079642857142,17.665422999999997,70.0,0.5,0.5,0.5,0.5,0.0,0.8459840000000001,0.5,0.65936125,10.54978,40.0
2020-03-15,0.623791,0.5,0.610443,1.831329,6.976744186046512,0.662378,0.5293329999999999,0.5552953333333334,16.65886,69.76744186046511,0.640713,0.5,0.5758565,2.303426,9.30232558139535,0.628514,0.565127,0.5735202162162164,21.220248000000005,86.04651162790698,0.8411790000000001,0.610715,0.6382107222222221,22.975585999999996,83.72093023255815,0.5,0.5,0.5,0.5,0.0,0.8469979999999999,0.5,0.6905484736842107,13.120421000000002,44.18604651162791
2020-03-22,0.564684,0.5,0.564684,1.129368,4.878048780487805,0.625537,0.555002,0.5662227096774194,17.552904,75.60975609756098,0.6058520000000001,0.5,0.5730374285714286,4.011262,17.073170731707318,0.6418729999999999,0.556959,0.5677746000000001,19.872111000000004,85.36585365853658,0.817578,0.642674,0.6836254814814815,18.457888,65.85365853658537,0.5,0.5,0.5,0.5,0.0,0.914099,0.5,0.6912237333333332,10.368355999999999,36.58536585365854
2020-03-29,0.5,0.5,0.5,0.5,0.0,0.5955550000000001,0.528016,0.5553702173913043,12.773515,62.16216216216216,0.582626,0.5,0.5400806666666665,1.6202419999999997,8.108108108108109,0.649397,0.575488,0.5843955312500001,18.700657000000003,86.48648648648648,0.837374,0.599124,0.6556578846153845,17.047105,70.27027027027027,0.5,0.5,0.5,0.5,0.0,0.831498,0.5,0.6417081428571428,8.983914,37.83783783783784
2020-04-05,0.5,0.5,0.5,0.5,0.0,0.598885,0.5388569999999999,0.548642,10.97284,80.0,0.567916,0.5,0.5552342499999999,2.2209369999999997,16.0,0.660047,0.583022,0.5864775000000001,12.902505000000001,88.0,0.7562409999999999,0.585508,0.643023625,10.288378,64.0,0.5,0.5,0.5,0.5,0.0,0.800822,0.5,0.6739186250000001,5.391349000000001,32.0
2020-04-12,0.5,0.5,0.5,0.5,0.0,0.6007680000000001,0.549099,0.5526617647058824,9.39525,73.91304347826086,0.674041,0.5,0.585721,1.757163,13.043478260869565,0.6600520000000001,0.545528,0.5750317222222221,10.350570999999999,78.26086956521739,0.867777,0.653123,0.6793185625,10.869097,69.56521739130434,0.5,0.5,0.5,0.5,0.0,0.854605,0.515096,0.6240247692307691,8.112321999999999,56.52173913043478
2020-04-19,0.5713520000000001,0.5,0.5713520000000001,0.5713520000000001,3.8461538461538463,0.6154189999999999,0.54277,0.5569065,11.13813,76.92307692307693,0.6239819999999999,0.5,0.6002956666666667,1.800887,11.538461538461538,0.636363,0.5614805,0.5723049166666667,13.735318000000001,92.3076923076923,0.8533620000000001,0.6245640000000001,0.6861370999999998,13.722741999999997,76.92307692307693,0.5,0.5,0.5,0.5,0.0,0.8045,0.5,0.6808921,6.808921,38.46153846153847
2020-04-26,0.5,0.5,0.5,0.5,0.0,0.590607,0.5324500000000001,0.542539380952381,11.393327000000001,80.76923076923077,0.645271,0.5,0.645271,0.645271,3.8461538461538463,0.676603,0.5430965,0.5723554444444444,10.302398,69.23076923076923,0.7453069999999999,0.635783,0.6333051739130436,14.566019000000004,88.46153846153845,0.5,0.5,0.5,0.5,0.0,0.801606,0.5,0.6904487499999999,8.285385,46.15384615384615
2020-05-03,0.5,0.5,0.5,0.5,0.0,0.660866,0.5188794999999999,0.5520164285714285,7.72823,63.63636363636363,0.590869,0.5,0.5619409999999999,1.6858229999999998,13.636363636363635,0.646828,0.5806495,0.5940525625,9.504841,72.72727272727273,0.903942,0.6137305,0.6718895294117646,11.422121999999998,77.27272727272727,0.5,0.5,0.5,0.5,0.0,0.758255,0.5,0.6485922000000001,3.242961,22.727272727272727
2020-05-10,0.5,0.5,0.5,0.5,0.0,0.672045,0.543379,0.5677546666666665,5.109791999999999,69.23076923076923,0.597887,0.5,0.5638893333333334,1.691668,23.076923076923077,0.618256,0.554708,0.5677365999999999,5.677365999999999,76.92307692307693,0.7857029999999999,0.549293,0.6404611111111111,5.764150000000001,69.23076923076923,0.5,0.5,0.5,0.5,0.0,0.7970119999999999,0.5,0.6057735,2.423094,30.76923076923077
2020-05-17,0.5,0.5,0.5,0.5,0.0,0.624525,0.546169,0.5621243333333334,6.745492000000001,75.0,0.643311,0.5,0.5799096666666667,1.7397289999999999,18.75,0.673189,0.5475105,0.5736334999999999,6.883601999999999,75.0,0.787895,0.631101,0.6559870000000001,9.839805000000002,93.75,0.5,0.5,0.5,0.5,0.0,0.864024,0.5118355,0.61899675,4.951974,50.0
2020-05-24,0.5416479999999999,0.5,0.5318939999999999,1.0637879999999997,10.526315789473683,0.612402,0.5247569999999999,0.5494842857142858,7.692780000000001,73.68421052631578,0.572367,0.5,0.572367,0.572367,5.263157894736842,0.691088,0.597224,0.6005888235294118,10.21001,89.47368421052632,0.8350069999999999,0.603088,0.6546846666666666,9.820269999999999,78.94736842105263,0.5,0.5,0.5,0.5,0.0,0.698946,0.5,0.6153575,3.692145,31.57894736842105
2020-05-31,0.5,0.5,0.5,0.5,0.0,0.6477609999999999,0.5235489999999999,0.558408,6.700896,70.58823529411765,0.5,0.5,0.5,0.5,0.0,0.663583,0.579557,0.5827627499999999,9.324203999999998,94.11764705882352,0.785284,0.5,0.67909075,5.432726,47.05882352941176,0.5,0.5,0.5,0.5,0.0,0.768512,0.5,0.6268699999999999,3.76122,35.294117647058826
2020-06-07,0.5,0.5,0.5,0.5,0.0,0.596651,0.517993,0.541142923076923,7.034858,61.904761904761905,0.611899,0.5,0.611899,0.611899,4.761904761904762,0.649552,0.566733,0.5796305263157895,11.01298,90.47619047619048,0.715659,0.556192,0.6059914375000002,9.695863000000003,76.19047619047619,0.5,0.5,0.5,0.5,0.0,0.779885,0.54498,0.6456118333333333,7.747342,57.14285714285714
2020-06-14,0.5,0.5,0.5,0.5,0.0,0.6133069999999999,0.5236365000000001,0.5599516666666667,3.35971,60.0,0.5791,0.5,0.5448189999999999,1.0896379999999999,20.0,0.653616,0.545124,0.5668242,5.668242,100.0,0.754451,0.551531,0.628064,3.7683839999999997,60.0,0.5,0.5,0.5,0.5,0.0,0.698784,0.5,0.607483,1.214966,20.0
2020-06-21,0.5,0.5,0.5,0.5,0.0,0.616815,0.5328999999999999,0.548912625,8.782602,80.0,0.577575,0.5,0.542287,1.084574,10.0,0.6474,0.580759,0.5882029473684209,11.175855999999998,95.0,0.727541,0.5927515,0.6354784285714284,8.896697999999999,70.0,0.5,0.5,0.5,0.5,0.0,0.7475970000000001,0.5,0.6289233333333334,1.8867700000000003,15.0
2020-06-28,0.5,0.5,0.5,0.5,0.0,0.678153,0.548221,0.565882,5.092938,81.81818181818183,0.5,0.5,0.5,0.5,0.0,0.6201439999999999,0.5683630000000001,0.5732587272727273,6.305846,100.0,0.809295,0.5891460000000001,0.629537,5.665833,81.81818181818183,0.5,0.5,0.5,0.5,0.0,0.737069,0.5,0.6217115,1.243423,18.181818181818183
