Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
Guardian,2020-10-08T17:00:00Z,https://www.theguardian.com/business/2020/oct/08/british-airways-last-two-747s-make-final-flights-from-heathrow,0, ,0.522035,0.5,0.5,0.5027,0.5,0.5,0.5
Guardian,2020-10-10T07:00:31Z,https://www.theguardian.com/business/2020/oct/10/covid-boom-uk-furniture-firms-sitting-pretty,0, ,0.5,0.5,0.596324,0.5,0.549577,0.5,0.5
Guardian,2020-10-06T15:32:17Z,https://www.theguardian.com/business/2020/oct/06/imf-world-economy-covid-kristalina-georgieva,0, ,0.5,0.5,0.5,0.546709,0.5,0.5,0.5
Guardian,2020-10-07T16:12:33Z,https://www.theguardian.com/business/2020/oct/07/tesco-hit-by-533m-covid-costs-but-sales-jump-during-pandemic,0, ,0.5,0.5,0.580459,0.513345,0.650402,0.5,0.5
Guardian,2020-10-07T09:34:07Z,https://www.theguardian.com/business/2020/oct/07/uk-mortgage-approvals-at-12-year-high-as-house-prices-keep-rising,0, ,0.5,0.5,0.5,0.542904,0.539545,0.5,0.639133
Guardian,2020-10-06T14:21:09Z,https://www.theguardian.com/business/2020/oct/06/wagamama-loss-covid-lockdown-restaurant-group-sales,0, ,0.5,0.5,0.563907,0.592364,0.68946,0.5,0.5
Guardian,2020-10-05T18:26:39Z,https://www.theguardian.com/business/2020/oct/05/covid-has-highlighted-americas-flaws-says-bank-boss-jamie-dimon,0, ,0.5,0.5,0.5,0.617895,0.5,0.5,0.5
Guardian,2020-10-05T12:39:56Z,https://www.theguardian.com/business/2020/oct/05/quarter-of-odeon-cinemas-to-open-only-at-weekends-coronavirus,0, ,0.5,0.5,0.592844,0.5,0.564676,0.5,0.5
Guardian,2020-10-05T12:25:42Z,https://www.theguardian.com/business/2020/oct/05/g-a-y-nightclub-owner-launches-lawsuit-over-10pm-covid-curfew,0, ,0.5,0.591225,0.519268,0.5,0.814285,0.5,0.5
Guardian,2020-10-07T23:01:21Z,https://www.theguardian.com/business/2020/oct/08/uv-cabinet-that-zaps-covid-could-become-fixture-of-uk-homes,0, ,0.5,0.5,0.5,0.513697,0.685562,0.5,0.723158
Guardian,2020-10-08T13:55:46Z,https://www.theguardian.com/business/2020/oct/08/singapore-launches-covid-secure-luxury-cruises-to-nowhere,0, ,0.5,0.5,0.578414,0.550135,0.612038,0.5,0.5
Guardian,2020-10-07T16:12:33Z,https://www.theguardian.com/business/2020/oct/07/tesco-hit-by-533m-covid-costs-but-sales-jump-during-pandemic,0, ,0.5,0.5,0.580459,0.513345,0.650402,0.5,0.5
Guardian,2020-10-07T09:34:07Z,https://www.theguardian.com/business/2020/oct/07/uk-mortgage-approvals-at-12-year-high-as-house-prices-keep-rising,0, ,0.5,0.5,0.5,0.542904,0.539545,0.5,0.639133
Guardian,2020-10-06T14:21:09Z,https://www.theguardian.com/business/2020/oct/06/wagamama-loss-covid-lockdown-restaurant-group-sales,0, ,0.5,0.5,0.563907,0.592364,0.68946,0.5,0.5
Guardian,2020-10-05T18:26:39Z,https://www.theguardian.com/business/2020/oct/05/covid-has-highlighted-americas-flaws-says-bank-boss-jamie-dimon,0, ,0.5,0.5,0.5,0.617895,0.5,0.5,0.5
Guardian,2020-10-05T12:39:56Z,https://www.theguardian.com/business/2020/oct/05/quarter-of-odeon-cinemas-to-open-only-at-weekends-coronavirus,0, ,0.5,0.5,0.592844,0.5,0.564676,0.5,0.5
Guardian,2020-10-05T12:25:42Z,https://www.theguardian.com/business/2020/oct/05/g-a-y-nightclub-owner-launches-lawsuit-over-10pm-covid-curfew,0, ,0.5,0.591225,0.519268,0.5,0.814285,0.5,0.5
Guardian,2020-10-06T17:36:41Z,https://www.theguardian.com/business/2020/oct/06/gsk-tells-staff-turn-off-covid-test-trace-app-work,0, ,0.5,0.5,0.5,0.5,0.654173,0.5,0.5
Guardian,2020-10-07T16:00:12Z,https://www.theguardian.com/business/2020/oct/07/further-150m-people-face-extreme-poverty-by-2022-world-bank-covid-19-climate-coronavirus,0, ,0.5,0.5,0.5,0.643804,0.5,0.5,0.599273
Guardian,2020-10-08T15:54:36Z,https://www.theguardian.com/business/2020/oct/08/easyjet-calls-for-urgent-uk-government-support-to-airline-industry,0, ,0.5,0.505375,0.5,0.621631,0.732482,0.5,0.5
Guardian,2020-10-09T12:25:16Z,https://www.theguardian.com/business/2020/oct/09/shopping-centre-owners-still-struggling-to-collect-rent-in-covid-crisis,0, ,0.5,0.5,0.615141,0.530728,0.723565,0.5,0.5
Guardian,2020-10-07T11:59:03Z,https://www.theguardian.com/business/2020/oct/06/trump-coronavirus-covid-stimulus-election,0, ,0.5,0.5,0.5,0.571033,0.598632,0.5,0.557498
Guardian,2020-10-08T14:44:43Z,https://www.theguardian.com/business/2020/oct/08/opec-rejects-projection-that-global-demand-for-oil-has-peaked,0, ,0.5,0.5,0.5,0.56036,0.735379,0.5,0.545265
Guardian,2020-10-06T18:26:13Z,https://www.theguardian.com/business/2020/oct/06/federal-reserve-chair-jerome-powell-coronavirus-relief,0, ,0.5,0.5,0.5,0.644659,0.601974,0.5,0.5
Guardian,2020-10-05T08:29:43Z,https://www.theguardian.com/business/2020/oct/05/cineworld-close-uk-us-cinemas-covid-bond-film-regal,0, ,0.5,0.5,0.5,0.5,0.653401,0.5,0.5
Guardian,2020-10-09T09:06:38Z,https://www.theguardian.com/business/2020/oct/09/growth-data-points-to-catastrophe-in-making-for-uk-economy,0, ,0.5,0.5,0.515328,0.581125,0.68453,0.5,0.509541
