Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
Guardian,2020-06-24T14:26:05Z,https://www.theguardian.com/commentisfree/2020/jun/24/worlds-poorest-people-coronavirus-vaccine-gavi,0, ,0.5,0.5,0.5,0.5,0.802018,0.5,0.5
Guardian,2020-06-24T17:00:29Z,https://www.theguardian.com/commentisfree/2020/jun/24/coronavirus-out-of-town-shopping-centre,0, ,0.5,0.5,0.60466,0.535991,0.5,0.5,0.5
Guardian,2020-06-25T06:00:37Z,https://www.theguardian.com/commentisfree/2020/jun/25/spain-coronavirus-british-tourists-tourism-covid-19,0, ,0.5,0.5,0.532573,0.55473,0.738836,0.5,0.5
Guardian,2020-06-26T15:30:06Z,https://www.theguardian.com/commentisfree/2020/jun/26/fringe-british-theatre-coronavirus-covid-19-government,0, ,0.5,0.51982,0.573609,0.5,0.513852,0.5,0.512418
Guardian,2020-06-26T06:00:41Z,https://www.theguardian.com/commentisfree/2020/jun/26/uk-arts-sector-coronavirus-film-television-theatre-design,0, ,0.5,0.5,0.538083,0.568964,0.5,0.5,0.5
Guardian,2020-06-22T16:33:15Z,https://www.theguardian.com/commentisfree/2020/jun/22/pandemic-zero-coronavirus-britain,0, ,0.5,0.524035,0.540314,0.564599,0.812353,0.5,0.5
Guardian,2020-06-21T12:00:15Z,https://www.theguardian.com/commentisfree/2020/jun/21/beijing-coronavirus-second-wave-virus-china,0, ,0.5,0.5,0.572533,0.510944,0.5,0.5,0.534746
Guardian,2020-06-22T13:05:29Z,https://www.theguardian.com/commentisfree/2020/jun/22/this-year-we-need-prides-spirit-of-solidarity-and-inclusion-more-than-ever,0, ,0.5,0.5,0.551942,0.565824,0.714046,0.5,0.5
Guardian,2020-06-25T11:18:44Z,https://www.theguardian.com/commentisfree/2020/jun/25/viral-immunologist-antibody-tests-covid-19-immuity-coronavirus,0, ,0.5,0.5,0.576106,0.5,0.82571,0.5,0.720291
Guardian,2020-06-23T18:37:07Z,https://www.theguardian.com/commentisfree/2020/jun/23/the-guardian-view-on-lifting-lockdown-riskier-than-it-needed-to-be,0, ,0.5,0.5,0.5,0.533408,0.61431,0.5,0.562434
Guardian,2020-06-21T07:15:09Z,https://www.theguardian.com/commentisfree/2020/jun/21/is-the-pandemic-sending-us-back-to-the-1950s-when-it-comes-to-taking-care-of-the-home-,0, ,0.5,0.5,0.5,0.599302,0.730914,0.5,0.550668
