Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
Guardian,2020-06-15T09:26:37Z,https://www.theguardian.com/politics/2020/jun/15/more-than-a-million-left-out-of-coronavirus-income-support-say-mps,0, ,0.5,0.5,0.5,0.589457,0.553332,0.5,0.5
Guardian,2020-06-14T06:00:37Z,https://www.theguardian.com/politics/2020/jun/14/the-lancets-editor-the-uk-response-to-coronavirus-is-the-greatest-science-policy-failure-for-a-generation,0, ,0.504827,0.5,0.54569,0.554012,0.720941,0.5,0.5
Guardian,2020-06-17T16:49:20Z,https://www.theguardian.com/politics/2020/jun/17/furlough-effect-leaves-rishi-sunak-with-triple-lock-pensions-dilemma,0, ,0.5,0.5,0.5,0.521989,0.604234,0.5,0.547419
Guardian,2020-06-19T09:25:21Z,https://www.theguardian.com/politics/2020/jun/19/catch-up-funding-for-english-schools-wont-start-until-september,0, ,0.5,0.5,0.5,0.594626,0.5,0.5,0.5
Guardian,2020-06-15T19:07:20Z,https://www.theguardian.com/society/2020/jun/15/permanent-secretaries-not-aware-of-any-economic-planning-for-a-pandemic,0, ,0.5,0.5,0.5,0.5,0.776065,0.5,0.508319
Guardian,2020-06-20T13:00:47Z,https://www.theguardian.com/politics/2020/jun/20/rented-e-scooters-ride-to-the-rescue-of-english-commuters-as-covid-lockdown-eases,0, ,0.5,0.5,0.519339,0.5,0.760712,0.5,0.725505
Guardian,2020-06-19T13:22:26Z,https://www.theguardian.com/politics/2020/jun/19/boris-johnsons-education-catch-up-plans-do-not-reflect-reality,0, ,0.5,0.5,0.5,0.541081,0.588168,0.5,0.5
Guardian,2020-06-14T07:37:39Z,https://www.theguardian.com/politics/2020/jun/14/prime-minister-has-not-hosted-a-cobra-emergency-committee-for-over-a-month,0, ,0.5,0.5,0.525998,0.526779,0.635362,0.5,0.5
Guardian,2020-06-17T10:02:27Z,https://www.theguardian.com/politics/2020/jun/17/sadiq-khan-demands-emergency-help-for-london-services,0, ,0.5,0.5,0.5,0.599759,0.5,0.5,0.512442
Guardian,2020-06-14T18:00:52Z,https://www.theguardian.com/politics/2020/jun/14/nazir-afzal-joins-legal-fight-new-inquiry-dominic-cummings,0, ,0.5,0.5,0.5,0.577544,0.666764,0.5,0.5
Guardian,2020-06-14T18:00:52Z,https://www.theguardian.com/politics/2020/jun/14/nazir-afzal-joins-legal-fight-new-inquiry-dominic-cummings,0, ,0.5,0.5,0.5,0.577544,0.666764,0.5,0.5
Guardian,2020-06-14T07:09:38Z,https://www.theguardian.com/politics/2020/jun/14/after-covid-is-it-time-for-the-uk-to-invest-in-its-industry-again,0, ,0.5,0.5,0.5,0.545896,0.67039,0.5,0.562606
Guardian,2020-06-18T18:30:56Z,https://www.theguardian.com/politics/2020/jun/18/radical-proposals-in-lib-dem-policy-review-suggest-shift-to-the-left,0, ,0.5,0.5,0.532229,0.505517,0.868815,0.5,0.5
Guardian,2020-06-16T16:51:14Z,https://www.theguardian.com/politics/2020/jun/16/johnson-handing-the-foreign-office-control-of-the-aid-budget-signals-a-change-of-priorities,0, ,0.5,0.5,0.5,0.5,0.761426,0.5,0.5
Guardian,2020-06-18T19:23:47Z,https://www.theguardian.com/politics/2020/jun/18/our-ministers-show-how-world-beating-they-are-all-over-again,0, ,0.5,0.5,0.579214,0.554313,0.529926,0.5,0.5
Guardian,2020-06-16T19:42:30Z,https://www.theguardian.com/politics/commentisfree/2020/jun/16/johnsons-global-britain-fantasies-offer-little-distraction-from-school-meals-own-goal,0, ,0.5,0.5,0.546591,0.5,0.609511,0.5,0.74212
Guardian,2020-06-17T15:10:55Z,https://www.theguardian.com/politics/2020/jun/17/boris-johnsons-car-hit-by-security-vehicle-outside-parliament-protester,0, ,0.5,0.5,0.5,0.569246,0.766355,0.5,0.5
Guardian,2020-06-18T17:34:45Z,https://www.theguardian.com/politics/2020/jun/18/dfid-merger-will-be-bad-for-poor-countries-and-for-the-uk,0, ,0.5,0.5,0.551347,0.5,0.680874,0.5,0.5
Guardian,2020-06-15T13:35:58Z,https://www.theguardian.com/world/2020/jun/15/boris-johnson-racism-inquiry-plan-written-on-back-of-fag-packet-says-lammy,0, ,0.5,0.5,0.5,0.51725,0.646637,0.5,0.5
Guardian,2020-06-20T07:00:41Z,https://www.theguardian.com/politics/2020/jun/20/britain-beyond-lockdown-could-the-country-be-healthier,0, ,0.5,0.5,0.5,0.57361,0.5,0.5,0.579327
Guardian,2020-06-18T17:38:51Z,https://www.theguardian.com/politics/2020/jun/18/dominic-raab-taking-the-knee-feels-like-symbol-of-subjugation,0, ,0.5,0.5,0.5,0.5,0.526089,0.5,0.5
Guardian,2020-06-16T18:35:47Z,https://www.theguardian.com/politics/2020/jun/16/foreign-office-and-department-for-international-development-to-merge,0, ,0.5,0.5,0.5,0.512674,0.672977,0.5,0.5
Guardian,2020-06-15T20:12:36Z,https://www.theguardian.com/politics/2020/jun/15/priti-looks-vacant-as-tories-take-a-stand-for-the-statues,0, ,0.5,0.5,0.560506,0.532251,0.754451,0.5,0.761799
Guardian,2020-06-17T16:33:59Z,https://www.theguardian.com/politics/2020/jun/17/boris-johnson-repeatedly-yells-schools-to-evade-scrutiny-in-dismal-pmqs,0, ,0.5,0.5,0.511786,0.543367,0.806674,0.5,0.645781
Guardian,2020-06-19T10:23:14Z,https://www.theguardian.com/politics/2020/jun/18/dysfunctional-toxic-culture-led-to-labour-defeat-major-report-finds,0, ,0.5,0.5,0.5,0.613964,0.814037,0.5,0.5
