Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
Guardian,2020-06-01T05:00:32Z,https://www.theguardian.com/sport/blog/2020/jun/01/major-league-rugby-la-giltinis-team-drink,0, ,0.5,0.5,0.597997,0.5,0.5,0.5,0.5
Guardian,2020-05-31T13:48:02Z,https://www.theguardian.com/sport/2020/may/31/catalans-toronto-rugby-league-relocation-problems-travel-restrictions,0, ,0.5,0.5,0.579557,0.535074,0.5,0.5,0.5
Guardian,2020-05-31T11:58:22Z,https://www.theguardian.com/sport/2020/may/31/snooker-coronavirus-neil-robertson-judd-trump-barry-hearn,0, ,0.5,0.5,0.569903,0.5,0.5,0.5,0.541702
Guardian,2020-06-01T01:00:24Z,https://www.theguardian.com/sport/2020/jun/01/netball-plays-the-long-game-with-revised-season,0, ,0.5,0.5,0.609041,0.5,0.511671,0.5,0.611151
Guardian,2020-06-03T20:02:21Z,https://www.theguardian.com/sport/2020/jun/03/hmrc-says-premiership-ineligible-for-furlough-when-contact-drills-resume,0, ,0.5,0.5,0.524592,0.507337,0.751838,0.5,0.584289
Guardian,2020-06-03T17:17:05Z,https://www.theguardian.com/sport/2020/jun/03/three-west-indies-players-decline-to-travel-for-england-test-series-cricket,0, ,0.5,0.5,0.587764,0.503163,0.671168,0.5,0.5
Guardian,2020-06-03T21:30:44Z,https://www.theguardian.com/sport/2020/jun/03/katie-boulter-volunteers-age-uk-tennis-comeback,0, ,0.5,0.5,0.647184,0.598175,0.5,0.5,0.5
Guardian,2020-06-02T00:57:46Z,https://www.theguardian.com/sport/2020/jun/02/rugby-australias-financial-pain-felt-widely-but-not-shared-universally,0, ,0.5,0.5,0.545701,0.527478,0.5,0.5,0.734692
Guardian,2020-05-31T17:13:05Z,https://www.theguardian.com/sport/2020/may/31/racing-newcastle-leads-way-professional-sport-returns,0, ,0.5,0.5,0.595839,0.551854,0.558477,0.5,0.768512
Guardian,2020-05-31T15:46:53Z,https://www.theguardian.com/sport/2020/may/31/f1-wants-reverse-grid-for-back-to-back-races-despite-mercedes-opposition,0, ,0.5,0.5,0.52807,0.5,0.785284,0.5,0.5
Guardian,2020-06-05T11:38:35Z,https://www.theguardian.com/sport/2020/jun/05/chess-magnus-carlsen-tries-champions-showdown-after-surprise-failure,0, ,0.5,0.5,0.60281,0.5,0.5,0.5,0.5
Guardian,2020-06-04T07:00:00Z,https://www.theguardian.com/sport/blog/2020/jun/04/classic-youtube-best-sports-clips-football-training-french-open-pigeon-racing,0, ,0.5,0.5,0.504226,0.595886,0.5,0.5,0.5
Guardian,2020-06-04T21:00:02Z,https://www.theguardian.com/sport/2020/jun/04/wage-reductions-and-summer-matches-loom-for-englands-top-players,0, ,0.5,0.5,0.535446,0.54967,0.713893,0.5,0.631184
Guardian,2020-06-06T11:02:12Z,https://www.theguardian.com/sport/2020/jun/06/horse-racing-1000-guineas-can-millisle-land-jessica-harrington-more-glory,0, ,0.5,0.5,0.642306,0.5,0.5,0.5,0.621363
Guardian,2020-05-31T12:45:44Z,https://www.theguardian.com/sport/2020/may/31/big-names-in-womens-rugby-play-down-cash-fears-after-sponsors-exit,0, ,0.5,0.5,0.663583,0.544863,0.5,0.5,0.5
Guardian,2020-06-06T21:00:32Z,https://www.theguardian.com/sport/2020/jun/06/rfu-twickenham-physical-distancing-cut-to-one-metre-12m-rugby-union,0, ,0.5,0.5,0.5,0.505986,0.676741,0.5,0.5
Guardian,2020-06-02T21:56:47Z,https://www.theguardian.com/sport/2020/jun/02/silverstone-confirmed-to-host-two-grand-prixs-with-formula-one-set-for-july-start-motor-racing,0, ,0.5,0.5,0.567032,0.5,0.684644,0.5,0.5
Guardian,2020-06-01T19:00:27Z,https://www.theguardian.com/sport/2020/jun/01/collision-fatal-injury-racing-return,0, ,0.5,0.5,0.575211,0.637578,0.590681,0.5,0.5
Guardian,2020-06-05T08:41:09Z,https://www.theguardian.com/sport/2020/jun/04/newmarket-racecourse-scare-as-glass-window-crashes-into-empty-stand-below,0, ,0.5,0.5,0.61007,0.523549,0.5,0.5,0.61417
Guardian,2020-06-04T19:46:15Z,https://www.theguardian.com/sport/2020/jun/04/nba-return-date-basketball-teams-orlando-vote,0, ,0.5,0.5,0.5,0.540062,0.5,0.5,0.5
Guardian,2020-06-05T09:00:10Z,https://www.theguardian.com/sport/2020/jun/05/lewis-hamilton-george-floyd-racial-injustice,0, ,0.5,0.5,0.575132,0.541835,0.58087,0.5,0.5
Guardian,2020-06-05T07:00:07Z,https://www.theguardian.com/sport/2020/jun/05/passionate-how-lockdown-has-changed-sports-fans-football,0, ,0.5,0.5,0.590611,0.647761,0.5,0.5,0.5
