Week,Anger_max,Anger_med,Anger_avg,Anger_total,Anger_ratio,Sad_max,Sad_median,Sad_avg,Sad_total,Sad_ratio,Fear_max,Fear_med,Fear_avg,Fear_total,Fear_ratio,Joy_max,Joy_med,Joy_avg,Joy_total,Joy_ratio,Analy_max,Analy_med,Analy_avg,Analy_total,Analy_ratio,Confi_max,Confi_med,Confi_avg,Confi_total,Confi_ratio,Tenta_max,Tenta_med,Tenta_avg,Tenta_total,Tenta_ratio
03.01-03.07,0.5845739999999999,0.5,0.55743075,2.229723,0.08,0.609588,0.5421005,0.5559294210526317,21.125318000000004,0.76,0.5874520000000001,0.5,0.5607578,8.411367,0.3,0.568856,0.5,0.5271009166666668,12.650422000000002,0.48,0.8089270000000001,0.567957,0.6554803437499999,20.975370999999996,0.64,0.5,0.5,0.5,0.5,0.0,0.869819,0.5409485,0.6361546333333333,19.084639,0.6
03.08-03.14,0.524562,0.5,0.524562,0.524562,0.015151515151515152,0.630494,0.5508550000000001,0.558344245614035,31.825621999999992,0.8636363636363636,0.6487,0.5,0.5781157894736841,10.984199999999998,0.2878787878787879,0.638333,0.5,0.5456388260869565,12.549693,0.3484848484848485,0.817602,0.562146,0.6420622888888889,28.892803000000004,0.6818181818181818,0.5,0.5,0.5,0.5,0.0,0.840778,0.5069855,0.6189680000000002,22.282848000000005,0.5454545454545454
03.15-03.21,0.526651,0.5,0.515073,1.030146,0.02127659574468085,0.6220829999999999,0.5431305000000001,0.5506458192771085,45.70360300000001,0.8829787234042553,0.640556,0.5,0.5624248235294117,9.561221999999999,0.18085106382978725,0.655529,0.5,0.5435726999999999,16.307180999999996,0.3191489361702128,0.8311069999999999,0.52085,0.6216222884615384,32.324359,0.5531914893617021,0.5,0.5,0.5,0.5,0.0,0.890848,0.5023605,0.6248388958333332,29.99226699999999,0.5106382978723404
03.22-03.28,0.5410659999999999,0.5,0.5410659999999999,0.5410659999999999,0.013888888888888888,0.6148359999999999,0.533081,0.5488390327868852,33.479181,0.8472222222222222,0.607763,0.5,0.5525358,2.7626790000000003,0.06944444444444445,0.613043,0.5,0.5386223103448275,15.620047,0.4027777777777778,0.749681,0.5240635,0.5901393095238093,24.785850999999994,0.5833333333333334,0.5,0.5,0.5,0.5,0.0,0.738654,0.5215574999999999,0.6021946153846154,23.48559,0.5416666666666666
03.29-04.04,0.624698,0.5,0.624698,0.624698,0.015151515151515152,0.6434850000000001,0.536884,0.550889836734694,26.993602000000006,0.7424242424242424,0.599499,0.5,0.5620244166666667,6.744293,0.18181818181818182,0.6267229999999999,0.5,0.5441638695652173,12.515768999999999,0.3484848484848485,0.80229,0.515315,0.6244199714285715,21.854699000000004,0.5303030303030303,0.5,0.5,0.5,0.5,0.0,0.774825,0.5,0.6015075333333333,18.045226,0.45454545454545453
04.05-04.11,0.509536,0.5,0.509536,0.509536,0.013888888888888888,0.615118,0.5277335000000001,0.549365918367347,26.918930000000007,0.6805555555555556,0.584573,0.5,0.544261875,4.354095,0.1111111111111111,0.593626,0.5,0.5408849032258065,16.767432000000003,0.4305555555555556,0.8188850000000001,0.545491,0.6196019166666668,29.740892000000006,0.6666666666666666,0.5,0.5,0.5,0.5,0.0,0.922024,0.5428065,0.6362870952380952,26.724058,0.5833333333333334
04.12-04.18,0.557487,0.5,0.5512005,1.102401,0.029411764705882353,0.627166,0.546226,0.5525312413793104,32.046812,0.8529411764705882,0.565221,0.5,0.5364786666666667,3.2188719999999997,0.08823529411764706,0.632297,0.5,0.5298533333333334,14.306040000000001,0.39705882352941174,0.790216,0.557152,0.6078681875,29.177673000000002,0.7058823529411765,0.5,0.5,0.5,0.5,0.0,0.8859959999999999,0.536899,0.6505407142857142,27.32271,0.6176470588235294
04.19-04.25,0.603675,0.5,0.554912,1.109824,0.02702702702702703,0.618097,0.5343665,0.5492234237288135,32.404182,0.7972972972972973,0.651859,0.5,0.5710593333333333,3.4263559999999997,0.08108108108108109,0.600557,0.5,0.5445136249999999,17.424435999999996,0.43243243243243246,0.7709020000000001,0.5583385,0.6064371636363636,33.354043999999995,0.7432432432432432,0.5,0.5,0.5,0.5,0.0,0.837888,0.5,0.6249170857142857,21.872098,0.47297297297297297
04.26-05.02,0.506768,0.5,0.506768,0.506768,0.012658227848101266,0.651566,0.534291,0.5521586949152544,32.577363000000005,0.7468354430379747,0.639257,0.5,0.57208825,2.288353,0.05063291139240506,0.615698,0.5,0.538759361111111,19.395336999999994,0.45569620253164556,0.8407120000000001,0.561091,0.63512475,33.026487,0.6582278481012658,0.5,0.5,0.5,0.5,0.0,0.845348,0.514263,0.6190102727272727,27.236452,0.5569620253164557
05.03-05.09,0.536841,0.5,0.5334915,1.066983,0.028169014084507043,0.62745,0.534892,0.5478163725490196,27.938635,0.7183098591549296,0.593156,0.5,0.5534834,2.767417,0.07042253521126761,0.6090720000000001,0.5,0.5437500588235293,18.487502,0.4788732394366197,0.794176,0.587396,0.6293343137254903,32.096050000000005,0.7183098591549296,0.5,0.5,0.5,0.5,0.0,0.8826069999999999,0.501642,0.6414742702702704,23.734548000000004,0.5211267605633803
05.10-05.16,0.533946,0.5,0.5216505,1.043301,0.02857142857142857,0.645558,0.546511,0.5546886315789472,31.617251999999993,0.8142857142857143,0.6674439999999999,0.5,0.5688120999999999,5.688120999999999,0.14285714285714285,0.5982109999999999,0.5,0.5374004411764705,18.271614999999997,0.4857142857142857,0.792977,0.5745165,0.6152367592592591,33.222784999999995,0.7714285714285715,0.5,0.5,0.5,0.5,0.0,0.8553219999999999,0.5586015,0.6563244878048781,26.909304,0.5857142857142857
05.17-05.23,0.57016,0.5,0.5353475000000001,1.0706950000000002,0.030303030303030304,0.606675,0.5477179999999999,0.550063596491228,31.353624999999997,0.8636363636363636,0.5667989999999999,0.5,0.5402215714285714,3.781551,0.10606060606060606,0.619686,0.5019914999999999,0.5436890294117647,18.485426999999998,0.5151515151515151,0.822032,0.575461,0.6136944000000001,30.684720000000002,0.7575757575757576,0.5,0.5,0.5,0.5,0.0,0.80016,0.539277,0.6359042142857143,26.707977000000003,0.6363636363636364
05.24-05.30,0.5,0.5,0.5,0.5,0.0,0.611612,0.534584,0.5511229459459461,20.391549000000005,0.6607142857142857,0.585986,0.5,0.553386,1.660158,0.05357142857142857,0.6087819999999999,0.5010815,0.5394118928571427,15.103532999999997,0.5,0.835649,0.585683,0.6173731555555555,27.781791999999996,0.8035714285714286,0.5,0.5,0.5,0.5,0.0,0.847151,0.5,0.6562967599999999,16.407418999999997,0.44642857142857145
