Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
The New York Times,2020-07-03T09:00:26+0000,https://www.nytimes.com/2020/07/03/technology/uber-hong-kong-experience.html,0, ,0.5,0.5,0.5,0.5,0.504216,0.5,0.612867
The New York Times,2020-07-02T10:00:38+0000,https://www.nytimes.com/2020/07/02/business/stock-market-today-coronavirus.html,0, ,0.5,0.5,0.5,0.580464,0.5,0.5,0.5
The New York Times,2020-07-01T21:52:17+0000,https://www.nytimes.com/2020/07/01/business/economy/federal-reserve-minutes.html,0, ,0.5,0.599856,0.5,0.524745,0.53373,0.5,0.76647
The New York Times,2020-07-02T12:57:14+0000,https://www.nytimes.com/2020/07/02/business/economy/jobs-unemployment-coronavirus.html,0, ,0.5,0.5,0.5,0.550779,0.5,0.5,0.638446
The New York Times,2020-07-02T14:41:54+0000,https://www.nytimes.com/2020/07/02/business/economy/congress-economy-coronavirus.html,0, ,0.5,0.5,0.5,0.601451,0.583976,0.5,0.5
The New York Times,2020-07-03T20:56:59+0000,https://www.nytimes.com/2020/07/03/business/economy/europe-us-jobless-coronavirus.html,0, ,0.5,0.5,0.5,0.541842,0.5,0.5,0.5
The New York Times,2020-07-04T07:00:17+0000,https://www.nytimes.com/2020/07/04/technology/virtual-summer-camps-pandemic.html,0, ,0.5,0.5,0.616852,0.5,0.5,0.5,0.706303
The New York Times,2020-07-01T11:17:17+0000,https://www.nytimes.com/2020/07/01/business/stock-market-today-coronavirus.html,0, ,0.5,0.5,0.5,0.530887,0.5,0.5,0.597823
The New York Times,2020-07-02T07:00:12+0000,https://www.nytimes.com/2020/07/02/your-money/coronavirus-unemployment-fraud.html,0, ,0.5,0.5,0.5,0.559398,0.663547,0.5,0.656982
The New York Times,2020-07-01T16:02:13+0000,https://www.nytimes.com/2020/07/01/business/economic-recovery-virus-surge.html,0, ,0.5,0.5,0.514332,0.539271,0.536818,0.5,0.656081
The New York Times,2020-06-30T19:47:22+0000,https://www.nytimes.com/2020/06/30/business/airbus-jobs-cuts.html,0, ,0.5,0.5,0.511079,0.522841,0.575797,0.5,0.5
The New York Times,2020-06-30T21:45:15+0000,https://www.nytimes.com/2020/06/30/business/stock-market-earnings-coronavirus.html,0, ,0.5,0.5,0.5,0.568112,0.5,0.5,0.611505
The New York Times,2020-06-30T11:15:07+0000,https://www.nytimes.com/2020/06/30/business/economy/central-banks-economic-warning.html,0, ,0.5,0.5,0.516966,0.550067,0.568684,0.5,0.534188
The New York Times,2020-06-30T09:27:23+0000,https://www.nytimes.com/2020/06/30/business/stock-market-coronavirus.html,0, ,0.5,0.5,0.5,0.535239,0.655306,0.5,0.5
The New York Times,2020-06-30T09:00:30+0000,https://www.nytimes.com/2020/06/30/business/paycheck-protection-program-coronavirus.html,0, ,0.5,0.5,0.5,0.571967,0.5,0.5,0.705803
The New York Times,2020-06-29T09:06:13+0000,https://www.nytimes.com/2020/06/29/business/stock-market-today-coronavirus.html,0, ,0.5,0.5,0.5,0.560951,0.5,0.5,0.5
