Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
The New York Times,2020-03-03T10:00:06+0000,https://www.nytimes.com/2020/03/03/opinion/the-coronavirus-is-us.html,0, ,0.5,0.57015,0.543744,0.5,0.774247,0.5,0.624423
The New York Times,2020-03-05T10:47:13+0000,https://www.nytimes.com/2020/03/05/opinion/coronavirus-china-pangolins.html,0, ,0.5,0.5,0.5,0.531284,0.758908,0.5,0.782914
The New York Times,2020-03-06T10:01:42+0000,https://www.nytimes.com/2020/03/06/opinion/trump-coronavirus-us.html,0, ,0.5,0.5,0.5,0.536502,0.690109,0.5,0.667291
The New York Times,2020-03-02T10:00:14+0000,https://www.nytimes.com/2020/03/02/opinion/coronavirus-health-trump.html,0, ,0.5,0.530956,0.53064,0.5,0.722394,0.5,0.5
The New York Times,2020-03-02T06:00:07+0000,https://www.nytimes.com/2020/03/02/opinion/italy-europe-coronavirus-.html,0, ,0.5,0.581285,0.542532,0.551308,0.5,0.5,0.730706
The New York Times,2020-03-03T06:45:14+0000,https://www.nytimes.com/2020/03/03/opinion/coronavirus-china-xi-jinping.html,0, ,0.5,0.5,0.505466,0.517541,0.570665,0.5,0.5
The New York Times,2020-03-02T10:00:20+0000,https://www.nytimes.com/2020/03/02/opinion/coronavirus-prepare-test.html,0, ,0.5,0.5,0.5,0.547888,0.693576,0.5,0.707394
The New York Times,2020-03-07T16:00:05+0000,https://www.nytimes.com/2020/03/07/opinion/coronavirus-quarantine-china.html,0, ,0.5,0.5,0.573731,0.576806,0.5,0.5,0.5
The New York Times,2020-03-07T22:04:28+0000,https://www.nytimes.com/2020/03/07/opinion/trump-coronavirus-us.html,0, ,0.5,0.521134,0.5,0.552465,0.64299,0.5,0.5
The New York Times,2020-03-03T00:00:07+0000,https://www.nytimes.com/2020/03/02/opinion/coronavirus-economy-recession.html,0, ,0.5,0.5,0.511618,0.508189,0.523444,0.5,0.5
The New York Times,2020-03-02T20:00:11+0000,https://www.nytimes.com/2020/03/02/opinion/coronavirus-economy-amazon-uber.html,0, ,0.5,0.5,0.5,0.545171,0.697492,0.5,0.507881
The New York Times,2020-03-03T17:44:27+0000,https://www.nytimes.com/2020/03/03/opinion/coronavirus-giuliani-trump.html,0, ,0.5,0.5,0.560611,0.622202,0.587077,0.5,0.70682
The New York Times,2020-03-01T20:00:06+0000,https://www.nytimes.com/2020/03/01/opinion/coronavirus-italy.html,0, ,0.5,0.572408,0.5,0.521615,0.5,0.5,0.5
The New York Times,2020-03-02T00:00:07+0000,https://www.nytimes.com/2020/03/01/opinion/coronavirus-economy-recession.html,0, ,0.5,0.515603,0.5,0.58504,0.628301,0.5,0.731909
The New York Times,2020-03-06T10:00:16+0000,https://www.nytimes.com/2020/03/06/opinion/coronavirus-iran.html,0, ,0.5,0.5,0.532398,0.553234,0.5,0.5,0.5
The New York Times,2020-03-05T20:07:42+0000,https://www.nytimes.com/2020/03/05/opinion/coronavirus-seattle.html,0, ,0.5,0.5,0.538703,0.519857,0.5,0.5,0.661958
The New York Times,2020-03-04T10:00:19+0000,https://www.nytimes.com/2020/03/04/opinion/coronavirus-science.html,0, ,0.5,0.5,0.5,0.582585,0.586353,0.5,0.5
The New York Times,2020-03-06T00:00:56+0000,https://www.nytimes.com/2020/03/05/opinion/coronavirus-quarantine-hermit-tech.html,0, ,0.5,0.5,0.5,0.533206,0.627746,0.5,0.686427
The New York Times,2020-03-07T19:30:05+0000,https://www.nytimes.com/2020/03/07/opinion/coronavirus-trump.html,0, ,0.5,0.539827,0.5,0.531571,0.68341,0.5,0.5
The New York Times,2020-03-06T10:00:13+0000,https://www.nytimes.com/2020/03/06/opinion/coronavirus-schools-closed.html,0, ,0.5,0.5,0.5,0.538879,0.658467,0.5,0.5
The New York Times,2020-03-07T15:30:06+0000,https://www.nytimes.com/2020/03/07/opinion/coronavirus-asian-racism.html,0, ,0.5,0.613846,0.579886,0.547903,0.5387,0.5,0.6467
The New York Times,2020-03-07T19:20:05+0000,https://www.nytimes.com/2020/03/07/opinion/sunday/coronavirus-united-states.html,0, ,0.5,0.587229,0.510671,0.517165,0.624301,0.5,0.5
The New York Times,2020-03-04T10:00:15+0000,https://www.nytimes.com/2020/03/04/opinion/coronavirus-buildings.html,0, ,0.5,0.506946,0.525253,0.595301,0.660668,0.5,0.797553
The New York Times,2020-03-05T10:00:15+0000,https://www.nytimes.com/2020/03/05/opinion/the-argument-biden-sanders-super-tuesday.html,0, ,0.5,0.5,0.575972,0.548372,0.684464,0.5,0.788312
The New York Times,2020-03-03T17:00:45+0000,https://www.nytimes.com/2020/03/03/opinion/coronavirus-economy-interest-rates.html,0, ,0.5,0.572914,0.521346,0.523743,0.66357,0.5,0.635558
The New York Times,2020-03-03T20:00:10+0000,https://www.nytimes.com/2020/03/03/opinion/coronavirus-quarantine.html,0, ,0.5,0.579924,0.535758,0.5,0.630231,0.5,0.68666
The New York Times,2020-03-02T22:42:16+0000,https://www.nytimes.com/2020/03/02/opinion/coronavirus-trump.html,0, ,0.5,0.546307,0.5,0.560374,0.765271,0.5,0.5
The New York Times,2020-03-02T21:26:11+0000,https://www.nytimes.com/2020/03/02/opinion/contributors/pharma-vaccines.html,0, ,0.5,0.5,0.50446,0.535679,0.725305,0.5,0.608533
The New York Times,2020-03-07T19:30:04+0000,https://www.nytimes.com/2020/03/07/opinion/trump-biden-coronavirus.html,0, ,0.5,0.5,0.528187,0.613963,0.5,0.5,0.5
The New York Times,2020-03-03T10:00:11+0000,https://www.nytimes.com/2020/03/03/opinion/super-tuesday-2020.html,0, ,0.5,0.5,0.558662,0.561568,0.595017,0.5,0.717416
The New York Times,2020-03-03T20:02:40+0000,https://www.nytimes.com/2020/03/03/opinion/super-tuesday-democrats-unite.html,0, ,0.559304,0.5,0.555731,0.5,0.571783,0.5,0.5
The New York Times,2020-03-04T19:41:13+0000,https://www.nytimes.com/2020/03/04/opinion/biden-2020-election.html,0, ,0.616505,0.5,0.560334,0.632195,0.559648,0.5,0.844087
The New York Times,2020-03-04T21:34:17+0000,https://www.nytimes.com/2020/03/04/opinion/jack-dorsey-twitter-elliot-singer.html,0, ,0.5,0.5,0.571247,0.5,0.752967,0.5,0.5
The New York Times,2020-03-05T20:00:07+0000,https://www.nytimes.com/2020/03/05/opinion/trump-impeachment.html,0, ,0.5,0.5,0.543541,0.531304,0.64712,0.5,0.5
The New York Times,2020-03-07T13:42:17+0000,https://www.nytimes.com/2020/03/07/opinion/the-case-for-permanent-stimulus-wonkish.html,0, ,0.5,0.5,0.5,0.582572,0.75422,0.5,0.649876
The New York Times,2020-03-06T10:00:08+0000,https://www.nytimes.com/2020/03/06/opinion/mortality-death.html,0, ,0.5,0.5,0.588557,0.62942,0.5,0.5,0.719054
The New York Times,2020-03-03T23:00:04+0000,https://www.nytimes.com/2020/03/03/opinion/biden-sanders-convention.html,0, ,0.5,0.509652,0.557002,0.521689,0.680717,0.5,0.589211
The New York Times,2020-03-07T02:02:10+0000,https://www.nytimes.com/2020/03/06/opinion/our-pursuit-of-happiness-is-killing-the-planet.html,0, ,0.5,0.5,0.545165,0.512939,0.704134,0.5,0.5
