Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
The New York Times,2020-04-07T22:00:04+0000,https://www.nytimes.com/2020/04/07/opinion/coronavirus-treatment.html,0, ,0.5,0.5,0.5,0.526937,0.750591,0.5,0.861471
The New York Times,2020-04-07T09:00:15+0000,https://www.nytimes.com/2020/04/07/opinion/coronavirus-science-experts.html,0, ,0.520424,0.5,0.526511,0.575775,0.705374,0.5,0.575274
The New York Times,2020-04-07T00:29:56+0000,https://www.nytimes.com/2020/04/06/opinion/abortion-covid.html,0, ,0.5,0.5,0.512526,0.51577,0.652435,0.5,0.662963
The New York Times,2020-04-10T09:00:10+0000,https://www.nytimes.com/2020/04/10/opinion/sunday/coronavirus-america.html,0, ,0.5,0.597333,0.526792,0.568553,0.725527,0.5,0.688403
The New York Times,2020-04-07T17:01:57+0000,https://www.nytimes.com/2020/04/07/opinion/boris-johnson-coronavirus.html,0, ,0.5,0.5,0.5,0.547897,0.654308,0.5,0.630753
The New York Times,2020-04-10T09:00:28+0000,https://www.nytimes.com/2020/04/10/opinion/sunday/coronavirus-texas-fracking-layoffs.html,0, ,0.5,0.5,0.511169,0.551963,0.656669,0.5,0.5
The New York Times,2020-04-09T22:05:04+0000,https://www.nytimes.com/2020/04/09/opinion/was-your-state-ahead-of-the-coronavirus-curve.html,0, ,0.5,0.5,0.545599,0.553295,0.746078,0.5,0.599531
The New York Times,2020-04-08T09:00:20+0000,https://www.nytimes.com/2020/04/08/opinion/coronavirus-california-washington-.html,0, ,0.5,0.5,0.574547,0.554763,0.690531,0.5,0.5
The New York Times,2020-04-07T09:00:18+0000,https://www.nytimes.com/2020/04/07/opinion/coronavirus-mental-health.html,0, ,0.5,0.514534,0.590951,0.608553,0.800751,0.5,0.780149
The New York Times,2020-04-05T19:00:10+0000,https://www.nytimes.com/2020/04/05/opinion/coronavirus-testing-smart-home.html,0, ,0.5,0.5,0.563444,0.5,0.594109,0.5,0.592448
The New York Times,2020-04-05T15:00:06+0000,https://www.nytimes.com/2020/04/05/opinion/coronavirus-walk-outside.html,0, ,0.614206,0.514375,0.52505,0.562655,0.5,0.5,0.606501
The New York Times,2020-04-07T09:00:11+0000,https://www.nytimes.com/2020/04/07/opinion/coronavirus-child-abuse.html,0, ,0.5,0.502307,0.5,0.552633,0.682468,0.5,0.729915
The New York Times,2020-04-06T09:00:13+0000,https://www.nytimes.com/2020/04/06/opinion/las-vegas-coronavirus.html,0, ,0.5,0.5,0.572638,0.566033,0.5,0.5,0.671895
The New York Times,2020-04-07T09:00:17+0000,https://www.nytimes.com/2020/04/07/opinion/coronavirus-trump-solidarity.html,0, ,0.5,0.5,0.58702,0.560115,0.5,0.5,0.817804
The New York Times,2020-04-06T05:00:08+0000,https://www.nytimes.com/2020/04/06/opinion/europe-coronavirus.html,0, ,0.5,0.5,0.547785,0.536225,0.590182,0.5,0.677769
The New York Times,2020-04-10T23:13:06+0000,https://www.nytimes.com/2020/04/10/opinion/coronavirus-small-businesses.html,0, ,0.5,0.5,0.617747,0.550778,0.5,0.5,0.667634
The New York Times,2020-04-05T22:30:06+0000,https://www.nytimes.com/2020/04/05/opinion/coronavirus-china-us.html,0, ,0.5,0.5,0.571945,0.571971,0.5,0.5,0.5
The New York Times,2020-04-05T23:00:06+0000,https://www.nytimes.com/2020/04/05/opinion/nyc-coronavirus.html,0, ,0.5,0.5,0.5,0.539464,0.63611,0.5,0.805783
The New York Times,2020-04-08T19:00:11+0000,https://www.nytimes.com/2020/04/08/opinion/coronavirus-congress-warren.html,0, ,0.5,0.5,0.5,0.555511,0.510542,0.5,0.5
