Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
The New York Times,2020-09-02T19:46:10+0000,https://www.nytimes.com/2020/09/02/us/politics/joni-ernst-coronavirus.html,0, ,0.5,0.5,0.5,0.633592,0.547297,0.5,0.6146
The New York Times,2020-09-05T10:00:06+0000,https://www.nytimes.com/2020/09/05/us/politics/Joe-Biden-2020.html,0, ,0.5,0.5,0.520597,0.52775,0.689772,0.5,0.5
The New York Times,2020-09-02T09:30:06+0000,https://www.nytimes.com/2020/09/02/us/politics/biden-schools-trump-coronavirus.html,0, ,0.5,0.5,0.5,0.5,0.7303,0.5,0.5
The New York Times,2020-08-31T23:47:09+0000,https://www.nytimes.com/2020/08/31/us/politics/jahana-hayes-schools-coronavirus.html,0, ,0.5,0.5,0.569242,0.525123,0.581605,0.5,0.5
The New York Times,2020-08-31T21:03:25+0000,https://www.nytimes.com/2020/08/31/us/politics/biden-speech-trump.html,0, ,0.5,0.623343,0.5,0.580726,0.557116,0.5,0.605872
The New York Times,2020-09-02T18:29:38+0000,https://www.nytimes.com/2020/09/02/us/elections/trumps-new-coronavirus-adviser-has-questioned-masks-and-alarmed-government-scientists.html,0, ,0.5,0.5,0.5,0.567409,0.699115,0.5,0.66511
The New York Times,2020-09-03T18:21:50+0000,https://www.nytimes.com/2020/09/03/us/elections/the-biden-campaign-enlists-two-former-players-to-blame-the-trump-administration-for-the-lack-of-big-ten-football.html,0, ,0.5,0.5,0.5,0.567008,0.671986,0.5,0.5
The New York Times,2020-09-02T14:47:00+0000,https://www.nytimes.com/2020/09/02/us/elections/as-virus-cases-spike-in-iowa-joni-ernst-spreads-a-debunked-theory-of-inflated-death-figures.html,0, ,0.5,0.619465,0.545494,0.605089,0.712746,0.5,0.776424
The New York Times,2020-09-03T13:41:52+0000,https://www.nytimes.com/2020/09/03/us/elections/a-smooth-massachusetts-election-could-also-be-a-cautionary-tale.html,0, ,0.5,0.5,0.5,0.574339,0.576093,0.5,0.5
The New York Times,2020-09-01T12:04:02+0000,https://www.nytimes.com/2020/09/01/us/elections/biden-hit-firmly-back-at-trump-will-he-now-take-that-message-on-the-road.html,0, ,0.5,0.5,0.523188,0.5,0.71307,0.5,0.631794
The New York Times,2020-09-04T10:59:25+0000,https://www.nytimes.com/2020/09/04/us/politics/trump-biden-protests-polling.html,0, ,0.5,0.5,0.5,0.529845,0.803644,0.5,0.62872
The New York Times,2020-09-04T12:08:25+0000,https://www.nytimes.com/2020/09/04/us/elections/trumps-advice-to-vote-twice-gives-state-elections-officials-new-headaches.html,0, ,0.5,0.5,0.5,0.505602,0.5,0.5,0.624238
The New York Times,2020-09-02T21:17:29+0000,https://www.nytimes.com/2020/09/02/us/politics/massachusetts-election-voting.html,0, ,0.5,0.5,0.5,0.58501,0.750442,0.5,0.626354
The New York Times,2020-09-04T12:08:26+0000,https://www.nytimes.com/2020/09/04/us/elections/biden-says-win-or-lose-im-going-to-go-down-fighting-for-racial-equality.html,0, ,0.5,0.5,0.516384,0.5,0.5,0.5,0.5
The New York Times,2020-09-02T12:38:27+0000,https://www.nytimes.com/2020/09/02/us/elections/the-cdc-has-ordered-a-moratorium-on-evictions-for-most-renters.html,0, ,0.5,0.5,0.5,0.520071,0.567244,0.5,0.5
The New York Times,2020-09-02T12:02:28+0000,https://www.nytimes.com/2020/09/02/us/elections/health-care-powered-democratic-victories-in-2018-the-party-hopes-for-a-repeat.html,0, ,0.5,0.5,0.5,0.63838,0.627765,0.5,0.504776
The New York Times,2020-09-04T12:08:29+0000,https://www.nytimes.com/2020/09/04/us/elections/in-kenosha-this-week-the-contrast-between-trump-and-biden-was-strong.html,0, ,0.5,0.570409,0.5,0.5,0.5,0.5,0.5
The New York Times,2020-09-03T12:10:18+0000,https://www.nytimes.com/2020/09/03/us/elections/trump-moves-to-cut-federal-funding-from-democratic-cities.html,0, ,0.534853,0.5,0.5,0.5,0.63011,0.5,0.5
The New York Times,2020-09-03T12:19:53+0000,https://www.nytimes.com/2020/09/03/us/elections/a-wave-of-polls-taken-after-the-conventions-show-little-change-in-bidens-lead.html,0, ,0.5,0.5,0.531402,0.5,0.793888,0.5,0.799811
The New York Times,2020-08-31T14:21:57+0000,https://www.nytimes.com/2020/08/31/us/elections/in-the-massachusetts-senate-primary-markey-has-outflanked-kennedy-by-running-as-a-bold-insurgent.html,0, ,0.5,0.5,0.5,0.531883,0.5,0.5,0.625068
The New York Times,2020-09-03T12:10:18+0000,https://www.nytimes.com/2020/09/03/us/elections/trump-moves-to-cut-federal-funding-from-democratic-cities.html,0, ,0.534853,0.5,0.5,0.5,0.63011,0.5,0.5
The New York Times,2020-08-31T12:03:25+0000,https://www.nytimes.com/2020/08/31/us/elections/an-advocacy-groups-unbossed-womens-agenda-would-help-black-domestic-workers.html,0, ,0.5,0.5,0.5,0.5,0.630752,0.5,0.569743
The New York Times,2020-09-04T18:33:28+0000,https://www.nytimes.com/2020/09/04/us/politics/biden-trump-soliders-insults.html,0, ,0.548641,0.5,0.5,0.569594,0.538698,0.5,0.5
The New York Times,2020-09-02T14:01:56+0000,https://www.nytimes.com/2020/09/02/us/elections/as-trump-attacks-voting-by-mail-his-campaign-tells-supporters-to-request-absentee-ballots.html,0, ,0.5,0.5,0.5,0.578175,0.628231,0.5,0.767985
The New York Times,2020-08-31T11:00:44+0000,https://www.nytimes.com/2020/08/31/us/politics/portland-2020-race.html,0, ,0.5,0.5,0.5,0.587712,0.643643,0.5,0.5
The New York Times,2020-09-03T21:27:15+0000,https://www.nytimes.com/2020/09/03/us/politics/people-voting-twice-trump.html,0, ,0.5,0.5,0.5,0.503863,0.732038,0.5,0.5
The New York Times,2020-09-01T12:00:07+0000,https://www.nytimes.com/2020/09/01/us/politics/massachusetts-elections-markey-kennedy-neal-morse.html,0, ,0.5,0.5,0.524095,0.513129,0.538695,0.5,0.544371
The New York Times,2020-09-02T23:52:52+0000,https://www.nytimes.com/2020/09/02/us/politics/trump-people-vote-twice.html,0, ,0.5,0.5,0.545352,0.553274,0.5,0.5,0.669753
The New York Times,2020-09-05T09:00:03+0000,https://www.nytimes.com/2020/09/05/us/politics/trump-biden-polls-election.html,0, ,0.5,0.5,0.5,0.501525,0.588592,0.5,0.51685
The New York Times,2020-09-02T14:49:36+0000,https://www.nytimes.com/2020/09/02/us/politics/biden-ads-trump.html,0, ,0.5,0.514619,0.5,0.5,0.567825,0.5,0.512574
The New York Times,2020-08-31T09:00:29+0000,https://www.nytimes.com/2020/08/31/us/markey-kennedy-massachusetts-senate.html,0, ,0.5,0.5,0.506196,0.513712,0.5,0.5,0.5
The New York Times,2020-09-04T09:00:27+0000,https://www.nytimes.com/2020/09/04/us/politics/voting-crime-survivors.html,0, ,0.5,0.5,0.527975,0.573791,0.549759,0.5,0.5
The New York Times,2020-09-01T23:05:22+0000,https://www.nytimes.com/2020/09/01/us/politics/trump-facebook-ads-absentee-ballots.html,0, ,0.5,0.5,0.548422,0.538977,0.598608,0.5,0.71572
The New York Times,2020-09-03T11:00:26+0000,https://www.nytimes.com/2020/09/03/us/politics/biden-trump-polling.html,0, ,0.5,0.5,0.5,0.529476,0.604807,0.5,0.5
The New York Times,2020-09-05T17:01:22+0000,https://www.nytimes.com/2020/09/05/us/politics/2020-election-calendar.html,0, ,0.5,0.5,0.506478,0.555372,0.71513,0.5,0.763572
The New York Times,2020-09-02T10:59:22+0000,https://www.nytimes.com/2020/09/02/us/politics/trump-kenosha-markey-kennedy.html,0, ,0.5,0.5,0.5,0.548629,0.5,0.5,0.5
The New York Times,2020-09-01T11:00:14+0000,https://www.nytimes.com/2020/09/01/us/politics/biden-trump-protests.html,0, ,0.5,0.5,0.5,0.571597,0.60109,0.5,0.5
The New York Times,2020-09-02T09:00:31+0000,https://www.nytimes.com/2020/09/02/us/politics/voting-election-day.html,0, ,0.5,0.5,0.5,0.554608,0.629498,0.5,0.582622
The New York Times,2020-09-02T09:00:42+0000,https://www.nytimes.com/2020/09/02/us/politics/health-care-democrats-2020-election.html,0, ,0.5,0.5,0.595947,0.583997,0.522037,0.5,0.5
