Week,Anger_max,Anger_med,Anger_avg,Anger_total,Anger_ratio,Sad_max,Sad_median,Sad_avg,Sad_total,Sad_ratio,Fear_max,Fear_med,Fear_avg,Fear_total,Fear_ratio,Joy_max,Joy_med,Joy_avg,Joy_total,Joy_ratio,Analy_max,Analy_med,Analy_avg,Analy_total,Analy_ratio,Confi_max,Confi_med,Confi_avg,Confi_total,Confi_ratio,Tenta_max,Tenta_med,Tenta_avg,Tenta_total,Tenta_ratio
03.01-03.07,0.5,0.5,0.5,0.5,0.0,0.597007,0.542013,0.5542551428571428,3.879786,0.7777777777777778,0.509347,0.5,0.509347,0.509347,0.1111111111111111,0.576138,0.5154270000000001,0.537253,2.6862649999999997,0.5555555555555556,0.660283,0.515187,0.5756138333333333,3.453683,0.6666666666666666,0.5,0.5,0.5,0.5,0.0,0.835354,0.586154,0.7155034,3.577517,0.5555555555555556
03.08-03.14,0.5,0.5,0.5,0.5,0.0,0.642382,0.5239320000000001,0.5570513125,8.912821,0.7272727272727273,0.561901,0.5,0.541874,2.70937,0.22727272727272727,0.6174029999999999,0.5039534999999999,0.5341611818181817,5.875772999999999,0.5,0.772736,0.580959,0.6381354666666668,9.572032000000002,0.6818181818181818,0.5,0.5,0.5,0.5,0.0,0.782119,0.514845,0.6383309090909091,7.02164,0.5
03.15-03.21,0.5,0.5,0.5,0.5,0.0,0.647151,0.53785,0.5637376,14.09344,0.8620689655172413,0.618943,0.5,0.58509475,2.340379,0.13793103448275862,0.6811229999999999,0.5,0.5516498181818182,6.068148000000001,0.3793103448275862,0.817829,0.633412,0.6434909230769231,16.730764,0.896551724137931,0.5,0.5,0.5,0.5,0.0,0.908753,0.640157,0.7211672105263158,13.702177,0.6551724137931034
03.22-03.28,0.5,0.5,0.5,0.5,0.0,0.643215,0.541716,0.5542908437499999,17.737306999999998,0.8421052631578947,0.602147,0.5,0.5531247777777778,4.978123,0.23684210526315788,0.6114350000000001,0.518796,0.5497042272727274,12.093493000000002,0.5789473684210527,0.811339,0.6059695,0.6471146551724137,18.766325,0.7631578947368421,0.5,0.5,0.5,0.5,0.0,0.904652,0.6260325,0.710897076923077,18.483324000000003,0.6842105263157895
03.29-04.04,0.5,0.5,0.5,0.5,0.0,0.621545,0.5369425,0.5525982222222222,9.946768,0.8181818181818182,0.643621,0.5,0.5997245,1.199449,0.09090909090909091,0.589204,0.503307,0.5440297272727272,5.9843269999999995,0.5,0.7380939999999999,0.601423,0.6376165294117646,10.839481,0.7727272727272727,0.5,0.5,0.5,0.5,0.0,0.9050940000000001,0.6749290000000001,0.7100307058823528,12.070521999999999,0.7727272727272727
04.05-04.11,0.5274939999999999,0.5,0.5274939999999999,0.5274939999999999,0.043478260869565216,0.625028,0.53832,0.538885,10.7777,0.8695652173913043,0.592703,0.5,0.5901726666666667,1.770518,0.13043478260869565,0.5849989999999999,0.527569,0.5504428571428571,7.706199999999999,0.6086956521739131,0.8502559999999999,0.6104569999999999,0.6418618333333332,11.553512999999999,0.782608695652174,0.5,0.5,0.5,0.5,0.0,0.822167,0.596109,0.6730960625,10.769537,0.6956521739130435
04.12-04.18,0.5,0.5,0.5,0.5,0.0,0.7147439999999999,0.555151,0.5700487916666664,13.681170999999996,0.9230769230769231,0.658826,0.5,0.5888826,2.944413,0.19230769230769232,0.58291,0.5,0.5518492,5.518492,0.38461538461538464,0.788506,0.663223,0.6614476818181818,14.551848999999999,0.8461538461538461,0.5,0.5,0.5,0.5,0.0,0.827198,0.5634555,0.6711934999999999,10.739095999999998,0.6153846153846154
04.19-04.25,0.5,0.5,0.5,0.5,0.0,0.67704,0.551872,0.5742551764705882,9.762338,0.7391304347826086,0.652795,0.5,0.570931,3.9965169999999994,0.30434782608695654,0.5955229999999999,0.504103,0.547673,6.572076,0.5217391304347826,0.806476,0.6422680000000001,0.6807065882352942,11.572012,0.7391304347826086,0.5,0.5,0.5,0.5,0.0,0.731438,0.61593,0.650204625,10.403274,0.6956521739130435
04.26-05.02,0.5,0.5,0.5,0.5,0.0,0.597618,0.5509470000000001,0.554009894736842,10.526187999999998,0.9047619047619048,0.644334,0.5,0.5686831666666666,3.412099,0.2857142857142857,0.573137,0.519045,0.5330117500000001,8.528188000000002,0.7619047619047619,0.81088,0.640073,0.6734616,10.101924,0.7142857142857143,0.5,0.5,0.5,0.5,0.0,0.8829520000000001,0.683288,0.7123064375,11.396903,0.7619047619047619
05.03-05.09,0.5,0.5,0.5,0.5,0.0,0.630663,0.527565,0.5585585263157896,10.612612000000002,0.7037037037037037,0.5,0.5,0.5,0.5,0.0,0.612446,0.5293260000000001,0.5505184444444444,9.909332,0.6666666666666666,0.83795,0.669366,0.6534921999999999,16.337304999999997,0.9259259259259259,0.5,0.5,0.5,0.5,0.0,0.8557799999999999,0.675499,0.6818955200000001,17.047388,0.9259259259259259
05.10-05.16,0.5,0.5,0.5,0.5,0.0,0.645185,0.549507,0.5716154999999999,8.002616999999999,0.7777777777777778,0.647941,0.5,0.5831339999999999,2.3325359999999997,0.2222222222222222,0.6228100000000001,0.5,0.5624702500000001,4.4997620000000005,0.4444444444444444,0.782647,0.5630335,0.6376831666666666,7.652197999999999,0.6666666666666666,0.5,0.5,0.5,0.5,0.0,0.778633,0.5701594999999999,0.6445729166666666,7.734875,0.6666666666666666
05.17-05.23,0.5,0.5,0.5,0.5,0.0,0.675913,0.535596,0.5697452222222222,10.255414,0.72,0.636532,0.5,0.5590875,4.4727,0.32,0.624478,0.522839,0.5456250588235294,9.275625999999999,0.68,0.8415100000000001,0.652361,0.6997622777777779,12.595721000000001,0.72,0.5,0.5,0.5,0.5,0.0,0.916443,0.631627,0.68048635,13.609727,0.8
05.24-05.30,0.5,0.5,0.5,0.5,0.0,0.602851,0.5470109999999999,0.5501043636363636,6.0511479999999995,0.8461538461538461,0.623943,0.5,0.591843,1.183686,0.15384615384615385,0.579439,0.5171640000000001,0.5438452857142858,3.8069170000000003,0.5384615384615384,0.8348559999999999,0.678454,0.6709097,6.709097000000001,0.7692307692307693,0.5,0.5,0.5,0.5,0.0,0.86977,0.555764,0.6552297499999999,5.2418379999999996,0.6153846153846154
05.31-06.06,0.5,0.5,0.5,0.5,0.0,0.6164609999999999,0.538114,0.5552897647058822,9.439925999999998,0.7391304347826086,0.6195649999999999,0.5,0.5765477999999999,2.8827389999999995,0.21739130434782608,0.596788,0.521478,0.5434902666666666,8.152353999999999,0.6521739130434783,0.7958970000000001,0.6729539999999999,0.675384105263158,12.832298000000002,0.8260869565217391,0.5,0.5,0.5,0.5,0.0,0.8504459999999999,0.644414,0.686411,12.355398,0.782608695652174
