Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
The New York Times,2020-08-14T20:25:34+0000,https://www.nytimes.com/2020/08/14/health/older-children-and-the-coronavirus-a-new-wrinkle-in-the-debate.html,0, ,0.5,0.5,0.5,0.5,0.723236,0.5,0.579196
The New York Times,2020-08-14T15:06:27+0000,https://www.nytimes.com/2020/08/14/health/covid-19-antibody-treatments.html,0, ,0.5,0.5,0.545905,0.553011,0.58136,0.5,0.564827
The New York Times,2020-08-11T16:24:45+0000,https://www.nytimes.com/2020/08/11/health/coronavirus-aerosols-indoors.html,0, ,0.5,0.5,0.500265,0.5,0.683706,0.5,0.59336
The New York Times,2020-08-13T20:16:14+0000,https://www.nytimes.com/2020/08/13/health/coronavirus-frozen-food.html,0, ,0.536784,0.576955,0.571265,0.5,0.656705,0.5,0.824385
The New York Times,2020-08-13T21:31:40+0000,https://www.nytimes.com/2020/08/13/health/Covid-mental-health-anxiety.html,0, ,0.5,0.5,0.5,0.696985,0.660589,0.5,0.700735
The New York Times,2020-08-14T17:31:49+0000,https://www.nytimes.com/2020/08/14/health/covid-19-obesity.html,0, ,0.5,0.528999,0.5,0.630718,0.77339,0.5,0.710213
The New York Times,2020-08-13T15:03:11+0000,https://www.nytimes.com/2020/08/13/health/coronavirus-flu-new-york.html,0, ,0.5,0.5,0.503756,0.642246,0.60147,0.5,0.654271
The New York Times,2020-08-13T07:00:14+0000,https://www.nytimes.com/2020/08/13/health/coronavirus-contact-tracing-apaches.html,0, ,0.5,0.5,0.518436,0.59639,0.572281,0.5,0.737014
The New York Times,2020-08-13T20:24:53+0000,https://www.nytimes.com/2020/08/13/health/coronavirus-cosmetic-surgery.html,0, ,0.5,0.5,0.505117,0.595487,0.5,0.5,0.517655
The New York Times,2020-08-12T07:00:16+0000,https://www.nytimes.com/2020/08/12/health/Covid-restaurants-bars.html,0, ,0.5,0.5,0.503498,0.549196,0.608784,0.5,0.51039
The New York Times,2020-08-09T21:17:27+0000,https://www.nytimes.com/2020/08/09/health/covid-testing.html,0, ,0.5,0.5,0.540195,0.532614,0.788327,0.5,0.5
The New York Times,2020-08-14T09:00:27+0000,https://www.nytimes.com/2020/08/14/health/coronavirus-elder-care.html,0, ,0.5,0.5,0.5,0.567057,0.624991,0.5,0.712169
The New York Times,2020-08-11T19:27:28+0000,https://www.nytimes.com/2020/08/11/health/russia-covid-19-vaccine-safety.html,0, ,0.5,0.5,0.5,0.5,0.856921,0.5,0.526127
The New York Times,2020-08-10T09:00:15+0000,https://www.nytimes.com/2020/08/10/health/stephen-hahn-fda.html,0, ,0.5,0.5,0.549889,0.549338,0.732471,0.5,0.5
The New York Times,2020-08-09T09:00:30+0000,https://www.nytimes.com/2020/08/09/science/coronavirus-elephants-wildlife-zoo.html,0, ,0.5,0.5,0.56492,0.546062,0.524072,0.5,0.5
