Week,Anger_max,Anger_med,Anger_avg,Sad_max,Sad_median,Sad_avg,Fear_max,Fear_med,Fear_avg,Joy_max,Joy_med,Joy_avg,Analy_max,Analy_med,Analy_avg,Confi_max,Confi_med,Confi_avg,Tenta_max,Tenta_med,Tenta_avg
03.01-03.07,0.5,0.5,0.5,0.597007,0.542013,0.5542551428571428,0.509347,0.5,0.509347,0.576138,0.5154270000000001,0.537253,0.660283,0.515187,0.5756138333333333,0.5,0.5,0.5,0.835354,0.586154,0.7155034
03.08-03.14,0.5,0.5,0.5,0.642382,0.5611950000000001,0.5713041249999999,0.541279,0.5,0.5347750000000001,0.6266109999999999,0.5,0.5533185,0.75121,0.5589500000000001,0.6211108333333333,0.5,0.5,0.5,0.782119,0.5706294999999999,0.6134195
03.15-03.21,0.5,0.5,0.5,0.645235,0.557283,0.5670782999999999,0.590603,0.5,0.590603,0.567839,0.5,0.5347325,0.774961,0.5694049999999999,0.615297125,0.5,0.5,0.5,0.908753,0.646575,0.7463081428571429
03.22-03.28,0.5,0.5,0.5,0.643215,0.563008,0.5696546666666666,0.602147,0.5,0.5507983333333333,0.546238,0.511773,0.5371728,0.811339,0.623058,0.6542564444444445,0.5,0.5,0.5,0.784029,0.684558,0.6944625714285715
03.29-04.04,0.5,0.5,0.5,0.6108979999999999,0.5331305,0.550649,0.5,0.5,0.5,0.562334,0.5,0.5312125,0.725625,0.5611915000000001,0.6299757142857143,0.5,0.5,0.5,0.8367389999999999,0.7164415000000001,0.7178740000000001
04.05-04.11,0.5274939999999999,0.5,0.5274939999999999,0.577928,0.540501,0.5422946666666666,0.589314,0.5,0.589314,0.5849989999999999,0.5084675000000001,0.5556416,0.758652,0.630193,0.6416134444444443,0.5,0.5,0.5,0.806343,0.5954630000000001,0.6683828333333334
04.12-04.18,0.5,0.5,0.5,0.66194,0.58474,0.5809374999999999,0.658826,0.5,0.6224500000000001,0.5735600000000001,0.5,0.542204,0.770574,0.5588230000000001,0.6287902857142857,0.5,0.5,0.5,0.827198,0.6472505,0.6726604444444444
04.19-04.25,0.5,0.5,0.5,0.67704,0.560141,0.578163,0.587494,0.5,0.5585359999999999,0.5955229999999999,0.5033015000000001,0.5476526,0.806476,0.6739755000000001,0.7122302857142857,0.5,0.5,0.5,0.720916,0.5186645,0.6643828
04.26-05.02,0.5,0.5,0.5,0.597618,0.553251,0.5595217777777777,0.644334,0.5,0.620953,0.564408,0.5037375,0.5313641666666666,0.81088,0.676825,0.7159601428571428,0.5,0.5,0.5,0.865801,0.654589,0.7061980000000001
05.03-05.09,0.5,0.5,0.5,0.589693,0.5188315000000001,0.5499173333333334,0.5,0.5,0.5,0.563859,0.529649,0.542063,0.83795,0.6643555,0.6698533,0.5,0.5,0.5,0.776141,0.6414965,0.6561087777777778
05.10-05.16,0.5,0.5,0.5,0.645185,0.5661355,0.5713934444444445,0.585052,0.5,0.5615316666666667,0.602329,0.5,0.54343125,0.7488819999999999,0.5552865,0.6682918333333333,0.5,0.5,0.5,0.778633,0.5827275000000001,0.6491655714285715
05.17-05.23,0.5,0.5,0.5,0.620582,0.5105854999999999,0.580907,0.5,0.5,0.5,0.595807,0.5308355,0.5636008333333334,0.8292229999999999,0.6254325,0.7086581428571429,0.5,0.5,0.5,0.916443,0.524986,0.6408931428571429
05.24-05.30,0.5,0.5,0.5,0.602851,0.5488265,0.5548524444444445,0.623943,0.5,0.591843,0.5480619999999999,0.5,0.53552875,0.8348559999999999,0.698334,0.7102067142857144,0.5,0.5,0.5,0.86977,0.569005,0.668254
05.31-06.06,0.5,0.5,0.5,0.593776,0.535282,0.541562625,0.602346,0.5,0.56421,0.596788,0.5240404999999999,0.5536231666666667,0.7826850000000001,0.6410764999999999,0.68434125,0.5,0.5,0.5,0.8504459999999999,0.6843395,0.713540375
06.07-06.13,0.5244850000000001,0.5,0.5244850000000001,0.624909,0.5587865000000001,0.5850068333333334,0.611117,0.5,0.5794889999999999,0.559851,0.507992,0.539879,0.703025,0.5452265,0.6078936666666667,0.5,0.5,0.5,0.687854,0.533014,0.6111721666666666
06.14-06.20,0.5,0.5,0.5,0.61065,0.5521915,0.5678357500000001,0.561429,0.5,0.5469436666666666,0.567854,0.506048,0.5321610000000001,0.7963779999999999,0.6300845,0.6426444000000001,0.5,0.5,0.5,0.816638,0.5581745,0.636214125
06.21-06.27,0.5,0.5,0.5,0.610422,0.5491455000000001,0.5770785,0.508259,0.5,0.508259,0.5775520000000001,0.5,0.5369253333333334,0.8403229999999999,0.5982565,0.642090375,0.5,0.5,0.5,0.819944,0.611036,0.657483625
06.28-07.04,0.5,0.5,0.5,0.67193,0.5499114999999999,0.574740625,0.6291720000000001,0.5,0.57534925,0.5420050000000001,0.5093559999999999,0.5220116666666667,0.787832,0.5723455,0.6169388571428572,0.5,0.5,0.5,0.8545370000000001,0.6499214999999999,0.6850901111111111
