areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
overview,United Kingdom,K02000001,2020/3/1,12,35
overview,United Kingdom,K02000001,2020/3/2,5,40
overview,United Kingdom,K02000001,2020/3/3,11,51
overview,United Kingdom,K02000001,2020/3/4,34,85
overview,United Kingdom,K02000001,2020/3/5,29,114
overview,United Kingdom,K02000001,2020/3/6,46,160
overview,United Kingdom,K02000001,2020/3/7,46,206
overview,United Kingdom,K02000001,2020/3/8,65,271
overview,United Kingdom,K02000001,2020/3/9,50,321
overview,United Kingdom,K02000001,2020/3/10,52,373
overview,United Kingdom,K02000001,2020/3/11,83,456
overview,United Kingdom,K02000001,2020/3/12,134,590
overview,United Kingdom,K02000001,2020/3/13,207,797
overview,United Kingdom,K02000001,2020/3/14,264,1061
overview,United Kingdom,K02000001,2020/3/15,330,1391
overview,United Kingdom,K02000001,2020/3/16,152,1543
overview,United Kingdom,K02000001,2020/3/17,407,1950
overview,United Kingdom,K02000001,2020/3/18,676,2626
overview,United Kingdom,K02000001,2020/3/19,643,3269
overview,United Kingdom,K02000001,2020/3/20,714,3983
overview,United Kingdom,K02000001,2020/3/21,1035,5018
overview,United Kingdom,K02000001,2020/3/22,665,5683
overview,United Kingdom,K02000001,2020/3/23,967,6650
overview,United Kingdom,K02000001,2020/3/24,1427,8077
overview,United Kingdom,K02000001,2020/3/25,1452,9529
overview,United Kingdom,K02000001,2020/3/26,2129,11658
overview,United Kingdom,K02000001,2020/3/27,2890,14548
overview,United Kingdom,K02000001,2020/3/28,2556,17104
overview,United Kingdom,K02000001,2020/3/29,2502,19606
overview,United Kingdom,K02000001,2020/3/30,2665,22271
overview,United Kingdom,K02000001,2020/3/31,3250,25521
overview,United Kingdom,K02000001,2020/4/1,4567,30088
overview,United Kingdom,K02000001,2020/4/2,4522,34610
overview,United Kingdom,K02000001,2020/4/3,4672,39282
overview,United Kingdom,K02000001,2020/4/4,4000,43282
overview,United Kingdom,K02000001,2020/4/5,6199,49481
overview,United Kingdom,K02000001,2020/4/6,4143,53624
overview,United Kingdom,K02000001,2020/4/7,3888,57512
overview,United Kingdom,K02000001,2020/4/8,5865,63377
overview,United Kingdom,K02000001,2020/4/9,4675,68052
overview,United Kingdom,K02000001,2020/4/10,5706,73758
overview,United Kingdom,K02000001,2020/4/11,5234,78991
overview,United Kingdom,K02000001,2020/4/12,5288,84279
overview,United Kingdom,K02000001,2020/4/13,4342,88621
overview,United Kingdom,K02000001,2020/4/14,5252,93873
overview,United Kingdom,K02000001,2020/4/15,4605,98476
overview,United Kingdom,K02000001,2020/4/16,4618,103093
overview,United Kingdom,K02000001,2020/4/17,5599,108692
overview,United Kingdom,K02000001,2020/4/18,5526,114217
overview,United Kingdom,K02000001,2020/4/19,5850,120067
overview,United Kingdom,K02000001,2020/4/20,4676,124743
overview,United Kingdom,K02000001,2020/4/21,4301,129044
overview,United Kingdom,K02000001,2020/4/22,4451,133495
overview,United Kingdom,K02000001,2020/4/23,4583,138078
overview,United Kingdom,K02000001,2020/4/24,5386,143464
overview,United Kingdom,K02000001,2020/4/25,4913,148377
overview,United Kingdom,K02000001,2020/4/26,4463,152840
overview,United Kingdom,K02000001,2020/4/27,4310,157149
overview,United Kingdom,K02000001,2020/4/28,3996,161145
overview,United Kingdom,K02000001,2020/4/29,4076,165221
overview,United Kingdom,K02000001,2020/4/30,6032,171253
overview,United Kingdom,K02000001,2020/5/1,6201,177454
overview,United Kingdom,K02000001,2020/5/2,4806,182260
overview,United Kingdom,K02000001,2020/5/3,4339,186599
overview,United Kingdom,K02000001,2020/5/4,3985,190584
overview,United Kingdom,K02000001,2020/5/5,4406,194990
overview,United Kingdom,K02000001,2020/5/6,6111,201101
overview,United Kingdom,K02000001,2020/5/7,5614,206715
overview,United Kingdom,K02000001,2020/5/8,4649,211364
overview,United Kingdom,K02000001,2020/5/9,3896,215260
overview,United Kingdom,K02000001,2020/5/10,3923,219183
overview,United Kingdom,K02000001,2020/5/11,3877,223060
overview,United Kingdom,K02000001,2020/5/12,3403,226463
overview,United Kingdom,K02000001,2020/5/13,3242,229705
overview,United Kingdom,K02000001,2020/5/14,3446,233151
overview,United Kingdom,K02000001,2020/5/15,3560,236711
overview,United Kingdom,K02000001,2020/5/16,3451,240161
overview,United Kingdom,K02000001,2020/5/17,3562,243723
overview,United Kingdom,K02000001,2020/5/18,2684,246406
overview,United Kingdom,K02000001,2020/5/19,2412,248818
overview,United Kingdom,K02000001,2020/5/20,2472,248293
overview,United Kingdom,K02000001,2020/5/21,2615,250908
overview,United Kingdom,K02000001,2020/5/22,3287,254195
overview,United Kingdom,K02000001,2020/5/23,2959,257154
overview,United Kingdom,K02000001,2020/5/24,2409,259559
overview,United Kingdom,K02000001,2020/5/25,1625,261184
overview,United Kingdom,K02000001,2020/5/26,2004,265227
overview,United Kingdom,K02000001,2020/5/27,2013,267240
overview,United Kingdom,K02000001,2020/5/28,1887,269127
overview,United Kingdom,K02000001,2020/5/29,2095,271222
overview,United Kingdom,K02000001,2020/5/30,2445,272826
overview,United Kingdom,K02000001,2020/5/31,1936,274762
overview,United Kingdom,K02000001,2020/6/1,1570,276332
overview,United Kingdom,K02000001,2020/6/2,1613,277985
overview,United Kingdom,K02000001,2020/6/3,1871,279856
overview,United Kingdom,K02000001,2020/6/4,1805,281661
overview,United Kingdom,K02000001,2020/6/5,1650,283311
overview,United Kingdom,K02000001,2020/6/6,1557,284868
overview,United Kingdom,K02000001,2020/6/7,1326,286194
overview,United Kingdom,K02000001,2020/6/8,1205,287399
overview,United Kingdom,K02000001,2020/6/9,1387,289140
overview,United Kingdom,K02000001,2020/6/10,1003,290143
overview,United Kingdom,K02000001,2020/6/11,1266,291409
overview,United Kingdom,K02000001,2020/6/12,1541,292950
overview,United Kingdom,K02000001,2020/6/13,1425,294375
overview,United Kingdom,K02000001,2020/6/14,1514,295889
overview,United Kingdom,K02000001,2020/6/15,1056,296857
overview,United Kingdom,K02000001,2020/6/16,1279,298136
overview,United Kingdom,K02000001,2020/6/17,1115,299251
overview,United Kingdom,K02000001,2020/6/18,1218,300469
overview,United Kingdom,K02000001,2020/6/19,1346,301815
overview,United Kingdom,K02000001,2020/6/20,1295,303110
overview,United Kingdom,K02000001,2020/6/21,1221,304331
overview,United Kingdom,K02000001,2020/6/22,958,305289
overview,United Kingdom,K02000001,2020/6/23,874,306210
overview,United Kingdom,K02000001,2020/6/24,653,306862
overview,United Kingdom,K02000001,2020/6/25,1118,307980
overview,United Kingdom,K02000001,2020/6/26,1006,309360
overview,United Kingdom,K02000001,2020/6/27,890,310250
overview,United Kingdom,K02000001,2020/6/28,901,311151
overview,United Kingdom,K02000001,2020/6/29,815,311965
overview,United Kingdom,K02000001,2020/6/30,689,312654
overview,United Kingdom,K02000001,2020/7/1,829,313483
overview,United Kingdom,K02000001,2020/7/2,576,283757
overview,United Kingdom,K02000001,2020/7/3,544,284276
overview,United Kingdom,K02000001,2020/7/4,624,284900
overview,United Kingdom,K02000001,2020/7/5,516,285416
overview,United Kingdom,K02000001,2020/7/6,343,285768
overview,United Kingdom,K02000001,2020/7/7,581,286349
overview,United Kingdom,K02000001,2020/7/8,630,286979
overview,United Kingdom,K02000001,2020/7/9,642,287621
overview,United Kingdom,K02000001,2020/7/10,512,288133
overview,United Kingdom,K02000001,2020/7/11,820,288953
overview,United Kingdom,K02000001,2020/7/12,650,289603
overview,United Kingdom,K02000001,2020/7/13,530,290133
overview,United Kingdom,K02000001,2020/7/14,398,291373
overview,United Kingdom,K02000001,2020/7/15,538,291911
overview,United Kingdom,K02000001,2020/7/16,642,292552
overview,United Kingdom,K02000001,2020/7/17,687,293239
overview,United Kingdom,K02000001,2020/7/18,827,294066
overview,United Kingdom,K02000001,2020/7/19,726,294792
overview,United Kingdom,K02000001,2020/7/20,557,295372
overview,United Kingdom,K02000001,2020/7/21,445,295817
overview,United Kingdom,K02000001,2020/7/22,560,296377
overview,United Kingdom,K02000001,2020/7/23,769,297146
overview,United Kingdom,K02000001,2020/7/24,768,297914
overview,United Kingdom,K02000001,2020/7/25,767,298681
overview,United Kingdom,K02000001,2020/7/26,745,299426
overview,United Kingdom,K02000001,2020/7/27,685,300111
overview,United Kingdom,K02000001,2020/7/28,581,300692
overview,United Kingdom,K02000001,2020/7/29,763,301455
overview,United Kingdom,K02000001,2020/7/30,846,302301
overview,United Kingdom,K02000001,2020/7/31,880,303181
overview,United Kingdom,K02000001,2020/8/1,761,303942
overview,United Kingdom,K02000001,2020/8/2,744,304685
overview,United Kingdom,K02000001,2020/8/3,898,305623
overview,United Kingdom,K02000001,2020/8/4,670,306293
overview,United Kingdom,K02000001,2020/8/5,892,307184
overview,United Kingdom,K02000001,2020/8/6,950,308134
overview,United Kingdom,K02000001,2020/8/7,871,309005
overview,United Kingdom,K02000001,2020/8/8,758,309763
overview,United Kingdom,K02000001,2020/8/9,1062,310825
overview,United Kingdom,K02000001,2020/8/10,740,311641
overview,United Kingdom,K02000001,2020/8/11,1148,312789
overview,United Kingdom,K02000001,2020/8/12,1009,313798
overview,United Kingdom,K02000001,2020/8/13,1129,314927
overview,United Kingdom,K02000001,2020/8/14,1441,316367
overview,United Kingdom,K02000001,2020/8/15,1077,317444
overview,United Kingdom,K02000001,2020/8/16,1040,318484
overview,United Kingdom,K02000001,2020/8/17,713,319197
overview,United Kingdom,K02000001,2020/8/18,1089,320286
overview,United Kingdom,K02000001,2020/8/19,812,321098
overview,United Kingdom,K02000001,2020/8/20,1182,322280
overview,United Kingdom,K02000001,2020/8/21,1033,323313
overview,United Kingdom,K02000001,2020/8/22,1288,324601
overview,United Kingdom,K02000001,2020/8/23,1160,325761
overview,United Kingdom,K02000001,2020/8/24,853,326614
overview,United Kingdom,K02000001,2020/8/25,1184,327798
overview,United Kingdom,K02000001,2020/8/26,1048,328846
