date,cases,deaths
2020/3/1,24,3
2020/3/2,30,6
2020/3/3,42,10
2020/3/4,129,12
2020/3/5,61,12
2020/3/6,130,15
2020/3/7,144,19
2020/3/8,173,22
2020/3/9,265,26
2020/3/10,392,31
2020/3/11,425,37
2020/3/12,676,43
2020/3/13,849,50
2020/3/14,993,60
2020/3/15,1323,68
2020/3/16,1712,91
2020/3/17,2093,117
2020/3/18,3375,162
2020/3/19,4601,212
2020/3/20,6115,277
2020/3/21,6906,360
2020/3/22,9270,458
2020/3/23,11175,579
2020/3/24,10870,785
2020/3/25,12613,1054
2020/3/26,17734,1353
2020/3/27,19223,1770
2020/3/28,19749,2300
2020/3/29,19668,2718
2020/3/30,21191,3368
2020/3/31,24963,4304
2020/4/1,26233,5325
2020/4/2,28107,6541
2020/4/3,31873,7932
2020/4/4,33085,9488
2020/4/5,25879,10856
2020/4/6,28238,12382
2020/4/7,30461,14616
2020/4/8,30968,16701
2020/4/9,35140,18821
2020/4/10,33526,21084
2020/4/11,31313,23168
2020/4/12,28221,24849
2020/4/13,24182,26613
2020/4/14,25866,29318
2020/4/15,29902,32070
2020/4/16,31570,34419
2020/4/17,31960,36708
2020/4/18,27960,38659
2020/4/19,27530,40179
2020/4/20,25947,42016
2020/4/21,26039,44688
2020/4/22,29187,47059
2020/4/23,31964,49228
2020/4/24,34208,51360
2020/4/25,35760,53327
2020/4/26,27296,54580
2020/4/27,22392,56022
2020/4/28,25191,58416
2020/4/29,26268,60930
2020/4/30,30018,63140
2020/5/1,32813,64902
2020/5/2,29169,66485
2020/5/3,25774,67816
2020/5/4,22228,68905
2020/5/5,22337,71139
2020/5/6,25242,73847
2020/5/7,27221,75805
2020/5/8,27195,77380
2020/5/9,25318,78834
2020/5/10,21082,79766
2020/5/11,18128,80748
2020/5/12,22369,82400
2020/5/13,21614,84168
2020/5/14,26693,85906
2020/5/15,25471,87499
2020/5/16,23739,88724
2020/5/17,20370,89568
2020/5/18,20643,90414
2020/5/19,20648,91934
2020/5/20,21310,93411
2020/5/21,26745,94722
2020/5/22,24128,96010
2020/5/23,22513,97060
2020/5/24,19072,97680
2020/5/25,18533,98190
2020/5/26,16682,98937
2020/5/27,19209,100422
2020/5/28,22759,101622
2020/5/29,23594,102812
2020/5/30,23591,103775
2020/5/31,21636,104379
2020/6/1,20101,105113
2020/6/2,19840,106195
2020/6/3,20182,107184
2020/6/4,20470,108192
2020/6/5,23055,109304
2020/6/6,22723,110032
2020/6/7,19101,110422
2020/6/8,16883,111144
2020/6/9,16853,112174
2020/6/10,20869,113103
2020/6/11,22080,113980
2020/6/12,23079,114759
2020/6/13,25452,115451
2020/6/14,21587,115768
2020/6/15,18330,116216
2020/6/16,22910,116985
2020/6/17,23965,117746
2020/6/18,27046,118473
2020/6/19,30902,119171
2020/6/20,32179,119717
2020/6/21,29180,119974
2020/6/22,26775,120334
2020/6/23,33460,121167
2020/6/24,39058,121934
2020/6/25,39641,124400
2020/6/26,44435,125033
2020/6/27,43060,125544
2020/6/28,41694,125815
2020/6/29,39279,126162
2020/6/30,46994,127462
2020/7/1,51112,128104
2020/7/2,53559,128827
2020/7/3,54129,129418
2020/7/4,54801,129679
2020/7/5,45327,129941
2020/7/6,40766,130332
2020/7/7,50996,131290
2020/7/8,62761,132238
2020/7/9,59179,133079
2020/7/10,66955,133907
2020/7/11,62664,134582
2020/7/12,61488,134977
2020/7/13,57075,135402
2020/7/14,58646,136356
2020/7/15,69232,137327
2020/7/16,70593,138285
2020/7/17,76340,139186
2020/7/18,64759,139961
2020/7/19,64289,140373
2020/7/20,56480,140904
2020/7/21,62884,142031
2020/7/22,69330,143167
2020/7/23,71450,144283
